new2kid,Population,Population_density,Households,Med_hh_inc
"142630",28157.353003517,70.3933825087924,11885.7048184075,40675
"142631",19043.7346796264,47.609336699066,8589.84893987125,44511
"142632",82681.6175271423,206.704043817856,36272.3986673303,33291
"143041",1241.4685129484,3.10367128237099,588.127637874811,42200
"143042",560.41879953681,1.40104699884202,253.962036688388,42200
"143043",671.09322437668,1.6777330609417,299.259991958828,42200
"143044",955.831052550125,2.38957763137531,423.00598086272,42200
"143045",879.778148993611,2.19944537248403,389.850430563899,42200
"143048",376.711555382794,0.941778888456984,163.37992780125,43900
"143049",509.094923328072,1.27273730832018,220.794638839269,43900
"143050",509.094923328072,1.27273730832018,220.794638839269,43900
"143051",511.641312099159,1.2791032802479,221.778407929454,43900
"143052",6481.47277663548,16.2036819415887,2711.93369321235,43920
"143053",45072.0662412189,112.680165603047,19891.6167655161,47402
"143054",5988.74393920617,14.9718598480154,3093.36764400635,51139
"143056",138684.947106726,346.712367766816,63918.5402996094,45088
"143057",70288.3878321136,175.720969580284,30169.5713088032,52195
"143058",26190.3468632024,65.4758671580061,11357.6562706619,52574
"143059",4255.40103070912,10.6385025767728,1606.89434911959,57856
"143060",18940.1966077844,47.350491519461,6951.99051325379,57357
"143061",3334.07471996918,8.33518679992296,1352.51142836025,52493
"143062",1366.74685463123,3.41686713657808,534.181680898375,66141
"143063",1097.69320658183,2.74423301645456,422.524766025544,68400
"143064",975.469718682262,2.43867429670565,380.321602957988,65922
"143065",700.346036458434,1.75086509114609,282.431457176022,59816
"143066",1038.35521696472,2.59588804241179,426.087109701818,62068
"143067",1138.19015092625,2.84547537731563,482.511072611453,62177
"143068",1252.92638913222,3.13231597283055,562.143018110596,61886
"143069",1264.76587027647,3.16191467569118,553.497356666567,61900
"143070",1284.26693552644,3.21066733881611,527.350307495258,61900
"143071",1287.84893738496,3.21962234346241,522.547555567262,61900
"143072",1288.01237025717,3.22003092564294,522.611454912278,61900
"143073",1986.69863859011,4.96674659647528,808.787637037661,58786
"143074",956.869245573151,2.39217311393288,402.364642142126,55870
"143075",724.944568870466,1.81236142217616,302.539697723058,56000
"143076",759.666953574848,1.89916738393712,316.264831437657,55928
"143077",784.481511715692,1.96120377928923,326.073579640047,55881
"143078",751.247633264173,1.87811908316043,312.936825655973,55944
"143079",963.202988591809,2.40800747147952,391.489095117964,57304
"143080",1354.33521221697,3.38583803054243,532.773774543136,62799
"143081",1232.21292536918,3.08053231342296,485.866260265599,60602
"143082",1339.59471528473,3.34898678821181,521.959437997841,56200
"143083",1409.76061781,3.52440154452499,550.045544886297,56200
"143084",713.603105025631,1.78400776256408,292.894501540175,56200
"143085",683.830066779996,1.70957516694999,278.642285368947,56200
"143086",664.152176136312,1.66038044034078,269.222569821817,56200
"143087",639.169928042113,1.59792482010528,257.99141626011,57654
"143088",545.246011417038,1.3631150285426,215.502015390902,64939
"143089",541.341379872715,1.35335344968179,213.628519743158,65100
"143090",541.341379872715,1.35335344968179,213.628519743158,65100
"143091",2027.65825070701,5.06914562676752,884.49438207117,62801
"143092",1792.53324626628,4.48133311566569,774.553010441346,61400
"143093",5888.58952564461,14.7214738141115,2534.4165135532,60515
"143094",22597.9936890358,56.4949842225896,9350.35956761593,57030
"143095",6288.47041212207,15.7211760303052,2616.33420068316,58556
"143096",2147.86861561833,5.36967153904583,910.174257041841,64856
"143097",2389.46301344296,5.97365753360741,1001.02850441604,64900
"143098",3717.0113979437,9.29252849485926,1507.40669517695,64900
"143099",3989.1375171871,9.97284379296775,1611.20609980135,64900
"143100",3243.88661423812,8.10971653559531,1311.18972073705,61048
"143101",1496.11169282478,3.74027923206196,618.570623089067,50608
"143102",1191.41824434594,2.97854561086486,473.010612989819,49814
"143103",1043.9810247171,2.60995256179274,419.326118004598,49800
"143104",781.041963101518,1.95260490775379,324.752227088051,49800
"143105",2187.92297336847,5.46980743342118,878.754354386548,52634
"143106",5132.94976640546,12.8323744160136,2052.78558364004,57630
