new2kid,ha_2031,urban_ha,ha_change
"64388",15.2500000782311,15.25,0
"64389",31.5000005066395,31.5,0
"64390",40.1250004768372,40.125,0
"65021",5.18749976763502,5.1875,-0
"65022",74.0000005811453,74,0
"65023",14.1250003129244,14.125,0
"65024",4.25000004470348,4.25,0
"65025",125.559228844941,36.0625,89.4967
"65026",275.062504783273,171.6875,103.375
"65027",7.87499994039536,7.875,-0
"65028",34.5624983310699,34.5625,-0
"65029",38.0624994635582,38.0625,-0
"65030",11.1874998081476,11.1875,-0
"65031",12.3124998062849,12.3125,-0
"65032",8.24999958276749,8.25,-0
"65033",20.8124995231628,20.8125,-0
"65034",11.0624998807907,11.0625,-0
"65035",103.437497653067,22.4375,81
"65036",198.562494292855,45.375,153.1875
"65037",30.0000008195639,30,0
"65038",7.12499981746078,7.125,-0
"65039",7.81250018626451,7.8125,0
"65040",19.3124996963888,19.3125,-0
"65674",10.0000001490116,10,0
"65675",179.187505505979,41,138.1875
"65676",359.999996423721,277.6875,82.3125
"65677",17.3124994151294,17.3125,-0
"65678",38.6250015348196,38.625,0
"65679",13.6874999850988,13.6875,-0
"65680",20.1874998048879,20.1875,-0
"65681",24.7500000521541,24.75,0
"65682",16.7500000912696,16.75,0
"65683",27.9374994337559,27.9375,-0
"65684",4.81249988079071,4.8125,-0
"65685",22.0624996349216,22.0625,-0
"65686",10.4375001974404,10.4375,0
"65687",30.4999997839332,30.5,-0
"65688",18.4374994598329,18.4375,-0
"65689",6.87499986961484,6.875,-0
"65690",13.5624996386468,13.5625,-0
"66326",251.687493920326,78.5,173.1875
"66327",204.249995201826,53.4375,150.8125
"66328",18.3124994859099,18.3125,-0
"66329",25.1874996349216,25.1875,-0
"66330",8.56249993667006,8.5625,-0
"66331",19.4999996572733,19.5,-0
"66332",7.68749993294477,7.6875,-0
"66333",78.3750016242266,78.375,0
"66334",18.3124994859099,18.3125,-0
"66335",25.6250001490116,25.625,0
"66336",12.1250001713634,12.125,0
"66337",9.93749969638884,9.9375,-0
"66338",11.312499770429,11.3125,-0
"66339",6.62499982863665,6.625,-0
"66340",5.68749993108213,5.6875,-0
"66341",13.1249998696148,13.125,-0
"66342",23.187499679625,23.1875,-0
"66343",22.9375004768372,22.9375,0
"66976",198.499995470047,116.25,82.25
"66977",195.499995350838,60.3125,135.1875
"66978",10.6875000521541,10.6875,0
"66979",15.6874998472631,15.6875,-0
"66980",15.625,15.625,0
"66981",10.937499627471,10.9375,-0
"66982",95.6249976530671,21.5625,74.0625
"66983",359.999996423721,210.0625,149.9375
"66984",9.68749988824129,9.6875,-0
"66985",5.12500001350418,5.125,0
"66986",31.937500834465,31.9375,0
"66987",5.68750002421439,5.6875,0
"66988",22.9374998249114,22.9375,-0
"66989",7.50000011175871,7.5,0
"66990",17.5625005736947,17.5625,0
"66991",61.9374993955716,61.9375,-0
"66992",24.8749999329448,24.875,-0
"66993",15.8124998677522,15.8125,-0
"66994",36.1250006244518,36.125,0
"67625",42.1250015497208,21.0625,21.0625
"67626",20.2499995124526,20.25,-0
"67627",45.3125016763806,45.3125,0
"67628",32.3750004172325,32.375,0
"67629",12.6250001834705,12.625,0
"67630",17.9999999701977,18,-0
"67631",8.62499987706542,8.625,-0
"67632",101.562499254942,30.875,70.6875
"67633",200.937501806766,51.375,149.5625
"67634",27.2499998915009,27.25,-0
"67635",1.99999995529652,2,-0
"67636",14.9999998509884,15,-0
"67637",7.43749998509884,7.4375,-0
"67638",24.5624999050051,24.5625,-0
"67639",1.75000000745058,1.75,0
"67640",2.87499995902181,2.875,-0
"67641",11.3750000949949,11.375,0
"67642",4.43750009872019,4.4375,0
"67643",6.37500006705523,6.375,0
"67644",12.937500141561,12.9375,0
"67645",18.9374999376014,18.9375,-0
"68275",26.6249995678663,26.625,-0
"68276",45.2500011771917,45.25,0
"68277",45.6875011324883,45.6875,0
"68278",34.8750002682209,34.875,0
"68279",47.1249995753169,47.125,-0
"68280",19.2499997094274,19.25,-0
"68281",16.1249998956919,16.125,-0
"68282",10.0624998332933,10.0625,-0
