new2kid,urban_ha,farm_ha,wood_ha,sng_ha,water_ha
"32961",0,0,0,396.0625,3.9375
"32962",0,0,0,387.8125,12.1875
"32963",0,0,0,382.9375,17.0625
"32964",0,0,0,371.125,28.875
"32965",0,22.875,0,275.5,101.625
"32966",0,0.0625,0,241.75,158.1875
"33522",0,103.25,0,290.3125,6.4375
"33523",0,101.0625,0,275.6875,23.25
"33592",0,3.625,2.375,334.625,59.375
"33593",0,16.6875,0,373.1875,10.125
"33594",0,0,0,374.6875,25.3125
"33595",0,0,0,400,0
"33596",0,2,0,396,2
"33604",0,0,0,381.5625,18.4375
"33605",0,0,8.1875,391.8125,0
"33606",0,0,6.5625,343.5,49.9375
"33607",0,0,5.3125,305.6875,89
"33608",0,0,0,313,87
"33610",0,0.1875,0,288.3125,111.5
"33611",0,0,0,400,0
"33612",0,0,0,391.5,8.5
"33613",0,0,0,362.6875,37.3125
"33614",0,0,0,376.6875,23.3125
"33615",0,0,0,365.4375,34.5625
"33617",0,0,0,205.5,194.5
"34241",0,15.9375,0,193.1875,190.875
"34242",0,7,0,389.3125,3.6875
"34243",0,0,0,398.75,1.25
"34244",0,0,0,304.4375,95.5625
"34245",0,0,0,332.125,67.875
"34246",0,0,0,399,1
"34247",0,1.9375,0,398.0625,0
"34248",0,7,0,255.4375,137.5625
"34254",0,0,0,370.1875,29.8125
"34255",0,0,0,400,0
"34256",0,0,0,398.1875,1.8125
"34257",0,0,1.75,374.625,23.625
"34258",0,0,0,284.8125,115.1875
"34259",0,0,0,370.375,29.625
"34260",0,1.4375,0,390.375,8.1875
"34261",0,0,0,384.0625,15.9375
"34262",0,0,0,395.75,4.25
"34263",0,0,0,390.4375,9.5625
"34264",0,0,0,381.5625,18.4375
"34265",0,0,0,364.75,35.25
"34266",0,25.4375,0,266.8125,107.75
"34267",0,36.6875,0,343.1875,20.125
"34268",0,4.375,0,373.8125,21.8125
"34892",0,2.6875,0,223.75,173.5625
"34893",0,0,0,364.8125,35.1875
"34894",0,0,0,367.875,32.125
"34895",0,0,0,394.4375,5.5625
"34896",0,0,0,400,0
"34897",0,0,0,395.0625,4.9375
"34898",0,15.8125,0,260.1875,124
"34903",0,0,0,311.375,88.625
"34904",0,0,0,384.625,15.375
"34905",0,0,0,364.25,35.75
"34906",0,0,0,387.5,12.5
"34907",0,0,3.625,382.625,13.75
"34909",0,0,0,365.8125,34.1875
"34910",0,0,0,330.5625,69.4375
"34911",0,0,0,397.9375,2.0625
"34912",0,0,0,357.5,42.5
"34913",0,0,0,346.625,53.375
"34914",0,0,0,255.375,144.625
"34915",0,0,0,310.6875,89.3125
"34916",0,0,0,388.125,11.875
"34917",0,2.8125,0,383.0625,14.125
"34918",0,0,0,295.375,104.625
"35544",0,0,0,353.4375,46.5625
"35545",0,0,0,387.625,12.375
"35546",0,0,0,398.6875,1.3125
"35547",0,0,0,399.125,0.875
"35548",0,1.875,0,301.25,96.875
"35549",0,0,0,399.5625,0.4375
"35550",0,0,0,341.9375,58.0625
"35553",0,0,0,398.1875,1.8125
"35554",0,0,0,397.9375,2.0625
"35555",0,0,0,400,0
"35556",0,0,0,398.6875,1.3125
"35557",0,0,2.125,389.5625,8.3125
"35558",0,0,0,353.3125,46.6875
"35559",0,0,0,314.625,85.375
"35560",0,0,0,354,46
"35561",0,0,0,395.25,4.75
"35562",0,0,0,384.3125,15.6875
"35563",0,0,0,312.625,87.375
"35564",0,0,0,357.25,42.75
"35565",0,0,0,373.4375,26.5625
"35566",0,0,0,372.0625,27.9375
"35567",0,16.5,0,326.375,57.125
"36195",0,0,0,334.4375,65.5625
"36196",0,0,0,383.25,16.75
"36197",0,0,0,394.5625,5.4375
"36198",0,0,0,398,2
"36199",0,0,0,400,0
"36202",0,0,0,342.75,57.25
"36203",0,0,0,398.375,1.625
