"","new2kid","sr_100_2000","sr_100_2031"
"874",44669,26,26
"875",44670,28,28
"876",44671,27,27
"877",44672,27,27
"878",44673,23,23
"879",44674,27,27
"880",44675,0,0
"881",44676,0,0
"882",44861,0,0
"883",44862,29,29
"884",44863,26,26
"885",44864,29,29
"886",44865,33,33
"887",44866,0,0
"888",44867,0,0
"889",45172,0,0
"890",45173,0,0
"891",45174,37,37
"892",45175,31,31
"893",45176,26,26
"894",45177,27,27
"895",45178,28,28
"896",45179,28,28
"897",45180,23,23
"898",45181,22,22
"899",45182,21,21
"900",45183,23,23
"901",45184,22,22
"902",45185,20,20
"903",45186,18,18
"904",45187,26,26
"905",45188,0,0
"906",45209,0,0
"907",45210,0,0
"908",45211,0,0
"909",45223,0,0
"910",45224,25,25
"911",45225,20,20
"912",45226,0,0
"913",45246,0,0
"914",45247,0,0
"915",45248,27,27
"916",45249,27,27
"917",45250,0,0
"918",45251,0,0
"919",45260,0,0
"920",45261,0,0
"921",45262,0,0
"922",45263,0,0
"923",45264,25,25
"924",45265,20,20
"925",45266,0,0
"926",45267,0,0
"927",45268,0,0
"928",45269,21,21
"929",45270,25,25
"930",45271,21,21
"931",45272,18,18
"932",45273,21,21
"933",45274,23,23
"934",45275,0,0
"935",45276,0,0
"936",45278,0,0
"937",45279,0,0
"938",45280,0,0
"939",45282,0,0
"940",45283,0,0
"941",45284,0,0
"942",45285,0,0
"943",45305,0,0
"944",45306,0,0
"945",45307,24,24
"946",45308,25,25
"947",45309,0,0
"948",45312,0,0
"949",45313,0,0
"950",45314,26,26
"951",45315,27,27
"952",45316,28,28
"953",45317,29,29
"954",45318,27,27
"955",45319,25,25
"956",45320,27,27
"957",45321,28,28
"958",45322,28,28
"959",45323,28,28
"960",45324,31,31
"961",45325,27,27
"962",45326,0,0
"963",45327,0,0
"964",45511,0,0
"965",45512,26,26
"966",45513,24,24
"967",45514,26,26
"968",45515,27,27
"969",45516,28,28
"970",45517,0,0
"971",45823,0,0
"972",45824,38,38
"973",45825,29,29
"974",45826,26,26
"975",45827,26,26
"976",45828,26,26
"977",45829,25,25
"978",45830,27,27
"979",45831,22,22
"980",45832,19,19
"981",45833,20,20
"982",45834,18,18
"983",45835,0,0
"984",45836,0,0
"985",45837,0,0
"986",45838,0,0
"987",45839,0,0
"988",45859,0,0
"989",45860,25,25
"990",45861,0,0
"991",45864,0,0
"992",45872,0,0
"993",45873,0,0
"994",45874,25,25
"995",45875,24,24
"996",45876,0,0
"997",45877,0,0
"998",45897,0,0
"999",45898,0,0
"1000",45899,0,0
"1001",45900,0,0
"1002",45908,0,0
"1003",45910,0,0
"1004",45911,23,23
"1005",45912,22,22
"1006",45913,21,21
"1007",45914,23,23
"1008",45915,21,21
"1009",45916,27,27
"1010",45917,22,22
"1011",45918,18,18
"1012",45919,18,18
"1013",45920,21,21
"1014",45921,19,19
"1015",45922,19,19
"1016",45923,19,19
"1017",45924,49,49
"1018",45925,0,0
"1019",45927,0,0
"1020",45928,0,0
"1021",45929,19,19
"1022",45930,0,0
"1023",45931,0,0
"1024",45932,0,0
"1025",45933,30,30
"1026",45934,29,29
"1027",45935,0,0
"1028",45936,0,0
"1029",45937,0,0
"1030",45955,0,0
"1031",45956,0,0
"1032",45957,0,0
"1033",45958,0,0
"1034",45959,0,0
"1035",45960,0,0
"1036",45963,0,0
"1037",45964,0,0
"1038",45965,0,0
"1039",45966,0,0
"1040",45967,22,22
"1041",45968,29,29
"1042",45969,28,28
"1043",45970,26,26
"1044",45971,27,27
"1045",45972,27,27
"1046",45973,27,27
"1047",45974,27,27
"1048",45975,28,28
"1049",45976,28,28
"1050",45977,0,0
"1051",45978,0,0
"1052",46161,0,0
"1053",46162,0,0
"1054",46163,27,27
"1055",46164,26,26
"1056",46165,25,25
"1057",46166,26,26
"1058",46167,0,0
"1059",46168,0,0
"1060",46473,0,0
"1061",46474,0,0
"1062",46475,0,0
"1063",46476,24,24
"1064",46477,25,25
"1065",46478,24,24
"1066",46479,0,0
"1067",46480,0,0
"1068",46481,0,0
"1069",46482,0,0
"1070",46483,0,0
"1071",46484,49,49
"1072",46485,0,0
"1073",46509,0,0
"1074",46510,23,23
"1075",46511,0,0
"1076",46513,0,0
"1077",46514,0,0
"1078",46515,0,0
"1079",46522,0,0
"1080",46523,16,16
"1081",46524,17,17
"1082",46525,24,24
"1083",46526,28,28
"1084",46527,0,0
"1085",46528,0,0
"1086",46532,0,0
"1087",46533,0,0
"1088",46558,0,0
"1089",46559,0,0
"1090",46560,0,0
"1091",46561,28,28
"1092",46562,26,26
"1093",46563,24,24
"1094",46564,23,23
"1095",46565,22,22
"1096",46566,24,24
"1097",46567,22,22
"1098",46568,18,18
"1099",46569,18,18
"1100",46570,17,17
"1101",46571,21,21
"1102",46572,25,25
"1103",46573,18,18
"1104",46574,20,20
"1105",46575,0,0
"1106",46576,0,0
"1107",46577,0,0
"1108",46578,25,25
"1109",46579,18,18
"1110",46580,26,26
"1111",46581,24,24
"1112",46582,28,28
"1113",46583,29,29
"1114",46584,29,29
"1115",46585,27,27
"1116",46586,0,0
"1117",46587,0,0
"1118",46613,0,0
"1119",46616,0,0
"1120",46617,0,0
"1121",46618,0,0
"1122",46619,29,29
"1123",46620,29,29
"1124",46621,26,26
"1125",46622,26,26
"1126",46623,25,25
"1127",46624,25,25
"1128",46625,27,27
"1129",46626,28,28
"1130",46627,29,29
"1131",46628,0,0
"1132",46629,0,0
"1133",46812,0,0
"1134",46813,0,0
"1135",46814,0,0
"1136",46815,0,0
"1137",46816,25,25
"1138",46817,32,32
"1139",46818,0,0
"1140",46819,0,0
"1141",47125,0,0
"1142",47126,0,0
"1143",47127,0,0
"1144",47128,0,0
"1145",47129,0,0
"1146",47133,0,0
"1147",47134,31,31
"1148",47135,0,0
"1149",47136,0,0
"1150",47159,0,0
"1151",47160,0,0
"1152",47161,0,0
"1153",47163,0,0
"1154",47164,0,0
"1155",47165,0,0
"1156",47166,0,0
"1157",47170,0,0
"1158",47171,0,0
"1159",47172,0,0
"1160",47173,17,17
"1161",47174,25,25
"1162",47175,28,28
"1163",47176,25,25
"1164",47177,18,18
"1165",47178,0,0
"1166",47181,0,0
"1167",47182,0,0
"1168",47183,0,0
"1169",47184,0,0
"1170",47209,0,0
"1171",47210,27,27
"1172",47211,27,27
