new2kid,tot_es,tot_es_ha
27728,548067.882220843,9897.38839224999
27730,0,0
27731,175961.229467942,10054.9273981681
27733,0,0
27734,0,0
27735,0,0
27736,292909.023990393,10277.509613698
28367,0,0
28374,29957.4752247124,9398.42359990978
28379,0,0
28380,0,0
28381,301910.568819099,11668.0413070183
28382,0,0
28383,0,0
28384,0,0
28385,0,0
28386,8074.08111865983,9937.33060758133
28387,935022.173025871,9269.11695688596
29029,0,0
29030,0,0
29031,113245.216609129,12850.52103366
29032,0,0
29033,9128.07949934368,9736.61813263326
29034,0,0
29035,112296.724625809,11898.9906888274
29036,0,0
29037,179490.75036899,9324.1948243631
29038,508569.037836553,8922.26382169391
29679,0,0
29680,0,0
29681,0,0
29682,0,0
29683,8863.63876144813,9454.54801221134
29684,603897.499279334,9643.07384078777
29688,0,0
30332,0,0
30333,0,0
30336,0,0
30920,690590.892947115,10355.6272606878
30921,3682874.10862784,14144.4996970824
30922,4330495.10092505,15983.3729215227
30923,2706600.87050666,15915.3303668161
30985,0,0
30986,20491.2611422946,9107.22717435316
31569,1729624.66839672,8607.77439948603
31570,3466348.09237281,10041.9282053168
31571,2486915.31854488,14953.2676049297
31572,2243243.95995298,16095.0239279138
31573,2781626.64253377,15632.6049457465
31636,3093.992686497,7071.9832834217
31646,0,0
32221,2009101.34458946,14350.7238899247
32222,2025955.85259551,12525.2293823525
32223,3377910.26560964,12592.3961439316
32294,19728.6491471703,4445.89276555949
32295,51280.2637322465,4798.15333167218
32312,113068.627778534,3840.97249353831
32313,54892.7193818008,4104.12855191034
32872,1995111.81104651,10022.5397101237
32873,2162904.24060934,9996.09123331871
32943,14060.3202558602,5624.12810234408
32944,0,0
32945,0,0
32946,344074.236176533,6830.25779010487
32954,0,0
32955,0,0
32956,0,0
32960,0,0
32961,0,0
32962,0,0
32963,0,0
32964,0,0
32965,155255.360580448,6787.1195882163
32966,394.432734038279,6310.92374461247
33522,1007705.1699924,9759.85636796509
33523,984712.981720626,9743.60402444651
33592,14652.8726577066,4042.1717676432
33593,68777.3018848099,4121.48625526951
33594,0,0
33595,0,0
33596,9754.52190143645,4877.26095071822
33604,0,0
33605,0,0
33606,0,0
33607,0,0
33608,0,0
33610,544.183060890992,2902.30965808529
33611,0,0
33612,0,0
33613,0,0
33614,0,0
33615,0,0
33617,0,0
34241,100305.86465598,6293.70131174775
34242,30435.7195729826,4347.95993899751
34243,0,0
34244,0,0
34245,0,0
34246,0,0
34247,10569.1260801491,5455.03281556084
34248,32217.4614345063,4602.49449064376
34254,0,0
34255,0,0
34256,0,0
34257,0,0
34258,0,0
34259,0,0
34260,4700.431378289,3269.86530663583
34261,0,0
34262,0,0
34263,0,0
34264,0,0
34265,0,0
34266,172697.249917196,6789.08107782588
34267,240138.155513037,6545.50338706746
34268,29909.8975749978,6836.54801714236
34892,17817.318182107,6629.69978869098
34893,0,0
34894,0,0
34895,0,0
34896,0,0
34897,0,0
34898,61432.1555720215,3885.03750653101
34903,0,0
34904,0,0
34905,0,0
34906,0,0
34907,0,0
34909,0,0
34910,0,0
34911,0,0
34912,0,0
34913,0,0
34914,0,0
34915,0,0
34916,0,0
34917,16530.9281828274,5877.66335389418
34918,0,0
35544,0,0
35545,0,0
35546,0,0
35547,0,0
35548,7934.50524100632,4231.7361285367
35549,0,0
35550,0,0
35553,0,0
35554,0,0
35555,0,0
35556,0,0
35557,0,0
35558,0,0
35559,0,0
35560,0,0
35561,0,0
35562,0,0
35563,0,0
35564,0,0
35565,0,0
35566,0,0
35567,91903.9903595219,5569.93880966799
36195,0,0
36196,0,0
36197,0,0
36198,0,0
36199,0,0
36202,0,0
36203,0,0
36204,0,0
36205,0,0
36206,0,0
36207,0,0
36208,0,0
36209,0,0
36210,0,0
36211,0,0
36212,0,0
36213,0,0
36214,0,0
36215,0,0
36776,0,0
36846,0,0
36847,0,0
36848,0,0
36849,0,0
36851,3935.89608590344,2623.93072393563
36852,0,0
36853,0,0
36854,0,0
36855,0,0
36856,0,0
36857,0,0
36858,0,0
36859,0,0
36860,0,0
36861,0,0
36862,0,0
36863,0,0
36864,0,0
37426,1103351.00081578,8997.76555201451
37427,907591.180576655,8669.52769506058
37473,4417.59594925875,5437.04116831847
37474,282051.915226863,7349.88704174235
37496,0,0
37497,0,0
37498,5580.80037257624,3882.29591135739
37499,682.332239841219,3639.10527915317
37500,9330.06402687146,2870.78893134507
37501,0,0
37502,0,0
37503,0,0
37504,0,0
37505,0,0
37506,0,0
37507,0,0
37508,0,0
37509,0,0
37510,0,0
37511,0,0
37512,0,0
37513,0,0
37514,0,0
37515,0,0
38026,17204.9904658621,8096.46610158214
38077,1706043.42361402,7730.58475724281
38078,386587.425478798,7234.38457036347
38120,0,0
38121,12803.93977416,4996.65942406244
38122,65955.3938780597,4818.65891346555
