new2kid,rec,rec_ha
184054,538132.283244773,1430.25191560073
184055,249070.582926057,672.368616318883
184056,963021.045159824,2517.29042782631
184057,558197.93439797,1476.22594220951
184058,99958.3990180196,280.880643535004
184059,285929.223441226,759.314019520067
184060,124897.134993757,358.642167964845
184061,57288.9946464615,165.008781698714
184062,75052.1518112789,207.183303826857
184063,86014.0118609824,254.291239795957
184064,12434.1161384662,32.8347634836853
184065,214916.896711818,655.984423385939
184066,139556.075603013,380.002928803304
184067,12774.7839882082,38.9995253981513
184068,4390.15260354977,12.2844424023778
184069,0,0
184070,250530.610843349,686.032727138012
184071,406373.840116228,1067.64884102786
184072,0,0
184073,174241.333004927,964.323955939005
184074,76854.7184634263,217.641680604393
184075,38205.3348585389,116.501860974868
184076,12699.9390116309,41.44380808302
184077,49799.1035526252,181.665676434565
184078,-5700.07294457872,-21.5249350704063
184079,26009.2777637269,105.755618707785
184080,0,0
184081,-81826.1317998005,-612.929826215734
184082,0,0
184083,924.41795667101,3.47280688623871
184084,25744.8420780756,121.869074925801
184085,66427.5637107673,249.317574458883
184086,2875.45307452871,8.64310394100625
184087,47065.5943084466,145.208158298331
184088,0,0
184089,0,0
184090,0,0
184091,30231.143760716,76.6801363619936
184092,8092.50096072791,23.5632386753513
184093,0,0
184094,0,0
184095,90354.2575202717,254.027045704219
184096,32345.1583546226,110.866009784482
184097,75527.1300054826,212.827418120416
184098,53543.1154514809,168.739356358521
184099,70037.2470459232,240.316483054168
184100,29537.3539622462,86.1461289456689
184101,19362.9365637246,53.0037540832489
184102,818.33571576816,2.66776109459873
184103,0,0
184104,-4010.19858273498,-16.9474847659164
184105,-20869.0535326115,-125.104816949393
184106,40090.7061694258,115.535176280766
184107,26841.3694257309,100.718084149084
184108,45066.7271748117,145.670229251916
184109,-17890.603830963,-107.774721873271
184110,16493.2053164695,63.8961949306323
184111,10340.1430837803,33.121574142788
184112,-7639.61979444042,-31.3339891422341
184113,-8481.17040489452,-68.6734445740447
184114,0,0
184115,188366.815333042,600.372319786586
184116,-11194.4185025769,-38.3863472012925
184117,-763572.974284735,-4262.79399461122
184118,-254973.168792166,-4154.34898235709
184119,-14217.7879267937,-116.658772732666
184653,168464.490362649,779.928196123377
184654,157191.260613897,497.735953222558
184655,-102581.547450173,-387.374191480626
184656,0,0
184657,-44225.0523866197,-188.895044897468
184658,-13024.6850917297,-66.5585781605919
184659,-4424.90987687887,-29.2556024917611
184660,-17503.5443839556,-113.890451008918
184661,0,0
184662,0,0
184663,3372.84556791544,12.2537531986029
184664,-7299.70978214127,-31.7464884797688
184665,-404295.375798655,-2017.06404712418
184666,-319576.833118941,-2093.86950446481
184667,-135286.537734577,-734.504247081724
184668,-77228.4686209674,-333.330248522061
184669,-1956.2580885995,-12.2553364986656
184670,2900.57703656977,14.879519295127
184671,0,0
184672,0,0
184673,0,0
184674,164833.057303095,769.124614041945
184675,54202.7503869323,188.081512844439
184676,65260.7371693355,266.370355793206
184677,-194098.433899356,-1055.95855070481
184678,-109798.584677924,-1330.89193548998
184679,-346648.895845335,-5819.91361762274
184680,24815.95867389,132.661287221253
184681,14900.7218713979,48.536553327029
184682,-31586.2846200671,-134.768147712286
184683,-59840.2394856954,-246.319432651294
184684,-289188.368937079,-2432.70972817732
184685,-49195.6499411916,-261.418196587349
184686,16352.2156301597,55.0579650847129
184688,521875.558865534,2465.31059037499
184689,225470.165216816,1403.15889573782
184690,-40983.1944453348,-187.94237912624
184691,0,0
184692,152450.407430084,630.61181977284
184693,0,0
184694,0,0
184695,535242.791846673,1973.24531556377
