new2kid,net_es,net_es_ha
25775,-313464.439892914,-4767.51999837132
25776,-46714.8627457878,-5050.25543197706
25777,-420207.718220357,-4991.33147106586
25778,-26751.0183554932,-4863.82151918057
25782,-552282.788770118,-5026.46451667912
25783,0,0
25784,-120535.416094924,-4821.41664379695
25785,0,0
25786,-142298.471962095,-4704.08171775522
26407,0,0
26408,0,0
26409,0,0
26410,0,0
26411,0,0
26412,0,0
26414,0,0
26415,0,0
26416,0,0
26417,0,0
26418,0,0
26419,0,0
26420,0,0
26421,0,0
26422,-1254.25360114097,-5017.01440456387
26424,-122441.714116496,-4984.90439151128
26425,-67474.920585287,-5044.85387553548
26426,-103055.597755294,-5136.72761397106
26427,-193774.671970869,-5033.10836287971
26431,-320008.163213266,-5125.25586727954
26432,-146976.035901754,-5090.0791654287
26433,0,0
26434,0,0
26435,0,0
26436,-6413.41618234375,-4664.30267806818
26437,-703068.771498338,-4501.44071387491
27057,0,0
27060,0,0
27064,0,0
27065,0,0
27066,0,0
27067,0,0
27068,0,0
27069,-8309.9466520324,-4584.79815284546
27070,0,0
27074,-45485.0716621775,-5053.89685135305
27075,0,0
27076,-320.027531765178,-5120.44050824286
27077,-17143.4388972586,-5175.37778030449
27080,-7722.06044485195,-5148.04029656797
27081,-19619.2520780488,-5146.03333194723
27082,-39816.567251371,-5096.52060817549
27083,0,0
27084,0,0
27085,0,0
27086,-43117.2373920637,-5347.8744052172
27087,-355213.916090283,-5356.6660296367
27716,0,0
27717,-5378.65577091549,-4529.39433340252
27718,0,0
27724,0,0
27726,0,0
27728,-283274.622922023,-5115.56881123291
27730,0,0
27731,-89649.006120923,-5122.80034976703
27733,0,0
27734,0,0
27735,0,0
27736,-156837.819210889,-5503.08137582067
28367,0,0
28374,-16051.7528640073,-5035.84403576699
28379,0,0
28380,0,0
28381,-156330.948340886,-6041.77578129027
28382,0,0
28383,0,0
28384,0,0
28385,0,0
28386,-4373.67495695693,-5382.98456240853
28387,-478737.059271703,-4745.84445374675
29029,0,0
29030,0,0
29031,-67659.0684375814,-7677.62478724328
29032,0,0
29033,-4675.32603090042,-4987.01443296045
29034,0,0
29035,-60311.4550293761,-6390.61775145708
29036,0,0
29037,-95236.0540259829,-4947.32748186924
29038,-269424.371038495,-4726.74335155254
29679,0,0
29680,0,0
29681,0,0
29682,0,0
29683,-4607.43750522041,-4914.60000556844
29684,-312812.339992144,-4995.00742502425
29688,0,0
30332,0,0
30333,0,0
30336,0,0
30920,-377889.929538091,-5666.57813740343
30921,-2261666.30844168,-8686.1884145624
30922,-2709070.91799909,-9998.87766735535
30923,-1701308.15278955,-10004.0170689573
30985,0,0
30986,-10896.9740251289,-4843.09956672396
31569,-940373.847410108,-4679.9320555402
31570,-1844620.07025679,-5343.82059100282
31571,-1536822.82106567,-9240.57314432569
31572,-1396164.28736234,-10017.3222411647
31573,-1733998.23362855,-9744.98480437544
31636,-1697.97187814124,-3881.07857860854
31646,0,0
32221,-1261576.57020556,-9011.26121575399
