new2kid,ghg,rec,flooding,totn,totp,hectares_chg
81602,0,0,0,0,0,0
81603,156369.165930451,0,0,615.758145166846,121.542104819817,10.25
81604,0,0,0,0,0,0
81605,1971.61714642327,0,0,86.5736250912044,20.3504207679182,1.625
81606,0,0,0,0,0,0
81607,0,0,0,0,0,0
81608,0,0,0,0,0,0
81609,122.491759324973,0,2.53238716032046,3.49969423708247,0.573733560347882,0.0625
81610,-26324.0801190153,0,464.956898020276,539.89551628507,87.4369191194956,11.5625
81611,0,0,0,0,0,0
81612,0,0,0,0,0,0
81613,-28369.1652987406,0,44.7223283209605,1274.61741709581,259.326210418526,21.75
81614,-65316.9564188181,0,5809.7164369203,4386.72118525225,939.669596715795,74.8125
81615,0,0,0,0,0,0
81616,0,0,0,0,0,0
81617,0,0,0,0,0,0
81618,-10054.6953136712,0,257.643190991642,716.379895786811,143.607222851408,4.4375
81619,0,0,0,0,0,0
81620,0,0,0,0,0,0
81621,0,0,0,0,0,0
81622,0,0,0,0,0,0
81623,0,0,0,0,0,0
81624,0,0,0,0,0,0
81625,0,0,0,0,0,0
81626,0,0,0,0,0,0
81627,0,0,0,0,0,0
81628,585895.14604114,0,5.13882284897071,19522.6655468149,2663.43720031401,43.25
81629,164116.815585307,0,0,13080.5172849735,1847.74928223752,14.75
81630,0,0,0,0,0,0
81631,0,0,0,0,0,0
81632,0,0,0,0,0,0
81633,0,0,0,0,0,0
81634,0,0,0,0,0,0
81635,0,0,0,0,0,0
81636,0,0,0,0,0,0
81637,0,0,0,0,0,0
81638,0,0,0,0,0,0
81639,0,0,0,0,0,0
81640,0,0,0,0,0,0
81641,0,0,0,0,0,0
81642,0,0,0,0,0,0
81643,0,0,0,0,0,0
81644,28308.4617776144,0,19.4896055683214,2.1107048392663,0.262498769357878,3.4375
81645,0,0,0,0,0,0
81646,0,0,0,0,0,0
81647,0,0,0,0,0,0
81648,0,0,0,0,0,0
81649,0,0,0,0,0,0
81650,0,0,0,0,0,0
81651,0,0,0,0,0,0
81652,0,0,0,0,0,0
81653,0,0,0,0,0,0
81654,0,0,0,0,0,0
81655,0,0,0,0,0,0
81656,22811.4182279025,0,19549.6089601738,-11945.6693008233,-1759.1287679217,3.25
81657,0,0,0,0,0,0
81658,1822952.01644611,0,0,739331.910591395,165587.366833903,125.0625
81659,1153868.26654497,0,11336.0322664922,167270.485740429,39447.7625798348,77.9375
81660,326197.894983736,0,4197.85410242058,-874.546540058086,105.253739616762,22.5625
81661,683594.55168937,0,6222.25938595597,-1285.68650376572,400.348646515095,41.375
81662,662188.024331199,0,4528.92926777851,-1076.49752350418,443.170581741847,39.8125
81663,483728.30409169,0,5750.97765014005,2956.66444824019,1026.65744551019,33.4375
81664,3153932.15780036,0,10577.2138255594,26099.580775029,7548.95207869696,174.5625
81665,1765526.75087809,0,17655.2364136529,15828.88421374,4521.40583506414,121.125
81666,612136.378398791,0,4804.39184842268,3914.26494199425,1226.19792880638,52.3125
81667,29981.5156130409,0,0,44.95035021841,23.7535870071102,2.5625
81668,2023692.85797599,0,0,3937.39515856735,1709.83448214879,146.5625
81669,2418462.60928818,0,0,6425.04836195103,2124.49818481986,156.0625
81670,3465924.69933906,0,0,17830.5939995245,4114.16531077132,216.4375
81671,4430390.87363523,0,0,26051.0773698918,5207.99401115365,250.625
81672,3630885.71096039,0,0,9106.57434289089,1779.16967447473,206.25
81673,3301868.03556931,0,0,0,0,196.9375
81674,3302126.38989057,0,451.321860859799,2022.86636061785,401.312717818462,193
81675,4537487.03114649,0,0,7597.02693873532,1411.97856532039,264.3125
81676,4614186.49308424,0,0,16987.3815071542,3046.98591037667,250.0625
81677,2978767.62935484,0,324.315086188967,12069.1325046863,2227.7446334539,165.25
81678,3351599.10772038,0,0,1.47554172514354,0.356706089444346,183.125
81679,5807021.53280344,0,4420.92678695511,614.816864246732,151.899840680959,318
81680,3017956.4072391,0,3231.86721226652,6233.20506694352,1457.06526023896,202.0625
81681,21447.156066182,0,72.1149085774014,1283.40303731307,306.157687195738,8.1875
81682,0,0,0,0,0,0
81683,0,0,0,0,0,0
81684,0,0,0,0,0,0
81685,0,0,0,0,0,0
81686,0,0,0,0,0,0
