new2kid,farm_ha,wood_ha,sng_ha,urban_ha,water_ha,offset_area_ha
"59823",256.75,71.5,70.9375,0.8125,0,0
"59824",356.125,25.25,15.8125,2.8125,0,0
"59825",321.0625,27.3125,27.625,24,0,0
"59826",290.875,33.75,60.1875,15.1875,0,0
"59827",324.8125,9.8125,51.875,13.5,0,0
"59828",341.625,49.1875,7.625,1.5625,0,0
"59829",319.9375,34.6875,42.75,2.625,0,0
"59830",324.5625,16.3125,27.5625,31.5625,0,0
"59831",330.625,33.3125,17.6875,18.375,0,0
"59832",309.4375,2.6875,24.5,30.125,33.25,0
"59833",239.9375,8.4375,22.3125,28.4375,100.875,0
"59834",203.3125,12.25,24.625,6.6875,153.125,0
"59835",240.5,5.875,23.75,10.4375,119.4375,0
"60466",175,42.375,9,6.5,167.125,0
"60467",224.6875,50.8125,27.625,30,66.875,0
"60468",286.625,69.9375,35.75,7.25,0.4375,0
"60469",280.375,92.9375,13.625,13.0625,0,0
"60470",168.1875,144.125,8.125,0.75,78.8125,0
"60471",263.0625,114.125,18.8125,4,0,0
"60472",284.8125,61.25,34.375,10.8125,8.75,0
"60473",287.625,62.875,17.9375,30.375,1.1875,0
"60474",327.75,55.625,14.875,1.75,0,0
"60475",331.1875,50.9375,7.8125,10.0625,0,0
"60476",312.5625,45.125,32.375,9.9375,0,0
"60477",317.8125,40.25,27.5,14.4375,0,0
"60478",342.3125,15.125,41.6875,0.875,0,0
"60479",280.5625,54.875,54.6875,9.875,0,0
"60480",319.3125,47.3125,27.125,4.9375,1.3125,0
"60481",308.0625,43.8125,11.5625,21,15.5625,0
"60482",200,56.3125,36.5625,107.125,0,0
"60483",332,33.8125,28.3125,5.875,0,0
"60484",320.9375,1.0625,32.4375,45.5625,0,0
"60485",340.125,36.8125,16.125,6.9375,0,0
"60486",374,6.375,7.9375,11.6875,0,0
"60487",297.125,3.9375,18.1875,40.8125,39.9375,0
"61119",314.75,63.8125,10.125,5.1875,6.125,0
"61120",282.75,50.875,12.375,12.5625,41.4375,0
"61121",226.3125,159.625,5.5,8.5625,0,0
"61122",268.75,100.1875,26.625,4.4375,0,0
"61123",291.375,26.5625,40.9375,41.125,0,0
"61124",300.8125,63.4375,20.75,15,0,0
"61125",285,57,46.625,11.375,0,0
"61126",266.8125,109.25,15.625,8.3125,0,0
"61127",333.875,29.25,34.625,2.25,0,0
"61128",239.6875,37.4375,115.125,7.75,0,0
"61129",219.1875,53.3125,127.375,0.125,0,0
"61130",321.75,33.4375,33.625,6.6875,4.5,0
"61131",331.75,29.125,30.3125,8.8125,0,0
"61132",273.4375,97.8125,26.3125,2.4375,0,0
"61133",368.375,7.8125,23.8125,0,0,0
"61134",353.0625,13.4375,21.125,12.375,0,0
"61135",332.8125,24.3125,25.75,17.125,0,0
"61136",357.1875,0.1875,17.0625,25.5625,0,0
"61137",315.875,2.625,9.9375,45.125,26.4375,0
"61769",296.125,58.6875,4.9375,18.5,21.75,0
"61770",334,38.125,22.875,5,0,0
"61771",277.75,74.5625,35.5,12.1875,0,0
"61772",282.1875,92.25,19.25,6.3125,0,0
"61773",290.125,50.25,39.875,19.75,0,0
"61774",376.0625,10.0625,10.5,3.375,0,0
"61775",308.0625,23.125,41.5,27.3125,0,0
"61776",292,35.9375,40.25,31.8125,0,0
"61777",300.9375,41.4375,46,11.625,0,0
"61778",195.875,102.6875,56.5625,44.875,0,0
"61779",208.1875,72.5,84.8125,34.5,0,0
"61780",202.25,52.625,144.125,1,0,0
"61781",277.6875,15.875,41.8125,60.0625,4.5625,0
"61782",324,24.75,44.4375,6.8125,0,0
"61783",353.9375,38.5,7.5625,0,0,0
"61784",316.4375,28.8125,52,2.75,0,0
"61785",355.4375,19.25,20.9375,4.375,0,0
"61786",319.9375,1.875,55.5,9.1875,13.5,0
"61787",315.5,4.75,3.5625,75.4375,0.75,0
"61788",233.5,4.875,41.125,5.625,114.875,41.125
"62419",236.75,32.5,9.25,8.5,113,0
"62420",348.6875,19.1875,24.5,7.625,0,0
"62421",337.75,17.9375,39.625,4.6875,0,0
"62422",292.0625,49.3125,27.9375,30.6875,0,0
"62423",300.6875,65.4375,24.25,9.625,0,0
"62424",316.875,25.625,41.6875,15.8125,0,0
"62425",266.9375,120.1875,7.0625,5.8125,0,0
"62426",346.9375,21.6875,14.25,17.125,0,0
"62427",90.25,59.875,226.5625,23.3125,0,0
"62428",125.9375,79.25,181.625,13.1875,0,0
"62429",224.8125,99.375,45.625,30.1875,0,0
"62430",292.4375,44.8125,24.6875,38.0625,0,0
"62431",303.25,63.8125,22.5,10.4375,0,0
"62432",269.125,60.25,48.5,22.125,0,0
"62433",310.1875,31.375,41.125,17.3125,0,0
"62434",286.6875,6.3125,103.5,3.5,0,0
"62435",354.125,13.0625,25.1875,7.625,0,0
"62436",346.4375,0,24.5625,7.5,21.5,0
"62438",48.75,6.875,109.375,99,136,0
"63070",199.4375,67.3125,33.9375,5.4375,93.875,0
"63071",339.9375,33.75,17.625,8.6875,0,0
"63072",342.0625,14.75,32,11.1875,0,0
"63073",354.5,5.5625,15.875,24.0625,0,0
"63074",354,11.6875,17.75,16.5625,0,0
"63075",293.375,47.375,27.375,31.875,0,0
"63076",294.875,20.75,18.1875,66.1875,0,0
"63077",130.125,60.0625,196.5625,13.25,0,0
"63078",104.5,64.125,194.4375,26.5625,10.375,0
"63079",219.5625,152.6875,20.8125,6.9375,0,0
"63080",188.6875,162.9375,41.3125,7.0625,0,0
"63081",301.6875,63,29.5625,5.75,0,0
"63082",313.875,27.125,52.5625,6.4375,0,0
"63083",255.4375,16.3125,115.4375,12.8125,0,0
"63084",275.8125,25.3125,75.25,23.625,0,0
"63085",335.9375,16.8125,35.9375,11.3125,0,0
"63086",313.4375,28.875,15.5,4.8125,37.375,0
"63087",236.8125,11.5,57.3125,17.1875,77.1875,0
"63088",224.565,6.4375,35.75,133.2475,0,0
"63089",259.625,10.4375,21.75,100.875,7.3125,0
"63720",103.7917,54.125,19,4.0833,219,0
"63721",288.75,84.4375,23.3125,3.5,0,0
"63722",324.1875,38.5625,22.5625,14.6875,0,0
"63723",328.1875,27.125,18.3125,26.375,0,0
"63724",307.4375,56.375,22.875,13.3125,0,0
"63725",300.8125,38.25,20.6875,40.25,0,0
"63726",245.4375,55.875,66.6875,32,0,0
"63727",140.25,49.125,187.5,23.125,0,0
"63728",90.9375,57.5625,239.6875,11.8125,0,0
"63729",210.25,113.875,40.4375,35.4375,0,0
"63730",280.375,53.5625,59.5,6.5625,0,0
"63731",312.375,41.125,41.3125,5.1875,0,0
"63732",330.6875,35.4375,27.9375,5.9375,0,0
"63733",345.875,37.0625,11.1875,5.875,0,0
"63734",329.1875,45.8125,18.75,6.25,0,0
"63735",323.0625,37.375,22.6875,16.875,0,0
"63736",280.625,26.75,28.4375,37.875,26.3125,4.625
"63737",264.625,1.875,20.125,26.125,87.25,0
"63738",346.375,1,23.125,29.5,0,0
"63739",328.4375,25.5625,25,20,1,0
"64370",233.1875,42.75,24.875,5.8125,93.375,0
"64371",329.3125,19.75,40.9375,10,0,0
"64372",342.875,22.1875,24.6875,10.25,0,0
"64373",328.6875,36.4375,24.8125,10.0625,0,0
"64374",325.6875,41,26.375,6.9375,0,0
"64375",190.375,43.875,42.6875,123.0625,0,0
"64376",141.5,69.6875,68.75,119.125,0.9375,0
"64377",95.8125,36.25,258.1875,9.75,0,0
"64378",11.625,22.875,365.5,0,0,0
"64379",218.5625,55.5,101.1875,24.75,0,0
"64380",289.6875,30.875,12.875,66.5625,0,0
"64381",289.6875,70,31.625,8.6875,0,0
"64382",305.75,41.5,35.8125,16.9375,0,0
"64383",353.1875,28.125,11.875,6.8125,0,0
"64384",255.375,112.0625,29.8125,2.75,0,0
"64385",57.8125,55.125,106.25,180.8125,0,52.0625
"64386",0,10.75,91.1875,273.875,24.1875,57.375
"64387",356.5,11.3125,19.375,8.875,3.9375,0
