new2kid,sr_chg_perc,sr_chg_ha
41281,0,0
41282,0,0
41283,0,0
41284,0,0
41285,0,0
41286,0,0
41331,0,0
41372,0,0
41373,7,4.8695652173913
41374,6,2.04255319148936
41375,4,Inf
41376,3,0.164383561643836
41377,0,0
41378,0,0
41379,0,0
41380,0,0
41402,0,0
41403,10,Inf
41404,12,Inf
41405,10,Inf
41406,10,Inf
41407,12,Inf
41408,5,2.42424242424242
41409,6,0.141176470588235
41410,0,0
41411,3,Inf
41412,6,Inf
41413,9,Inf
41414,7,Inf
41415,3,Inf
41416,10,Inf
41417,10,Inf
41418,10,Inf
41419,8,Inf
41420,11,Inf
41421,11,Inf
41422,7,0.131455399061033
41423,0,0
41920,0,0
41921,0,0
41922,0,0
41923,0,0
41928,0,0
41932,0,0
41933,0,0
41936,0,0
42021,0,0
42022,0,0
42023,10,80
42024,9,Inf
42025,5,Inf
42026,8,Inf
42027,9,Inf
42028,0,0
42029,0,0
42051,0,0
42052,0,0
42053,10,Inf
42054,12,Inf
42055,10,Inf
42056,8,Inf
42057,10,Inf
42058,9,0.455696202531646
42059,3,0.0289505428226779
42060,7,0.0472773322076826
42061,7,Inf
42062,7,Inf
42063,8,Inf
42064,6,Inf
42065,11,Inf
42066,9,Inf
42067,10,Inf
42068,10,Inf
42069,10,Inf
42070,11,Inf
42071,10,Inf
42072,11,Inf
42073,0,0
42074,0,0
42570,0,0
42571,0,0
42572,16,0.766467065868264
42573,0,0
42577,0,0
42578,0,0
42579,0,0
42581,0,0
42582,0,0
42583,0,0
42584,0,0
42585,0,0
42610,0,0
42611,0,0
42649,0,0
42665,0,0
42666,0,0
42670,0,0
42671,0,0
42672,8,0.319201995012469
42673,10,14.5454545454545
42674,0,0
42675,0,0
42676,0,0
42677,0,0
42678,0,0
42701,0,0
42702,12,Inf
42703,9,Inf
42704,11,Inf
42705,32,Inf
42706,9,Inf
42707,10,Inf
42708,6,Inf
42709,7,0.224448897795591
42710,0,0
42711,11,8
42712,10,Inf
42713,8,Inf
42714,6,Inf
42715,12,Inf
42716,10,Inf
42717,10,Inf
42718,10,Inf
42719,11,Inf
42720,11,Inf
42721,12,Inf
42722,10,Inf
42723,2,0.017103153393907
42724,0,0
43221,0,0
43222,0,0
43223,0,0
43224,0,0
43225,0,0
43226,0,0
43227,0,0
43228,13,5.94285714285714
43229,0,0
43231,0,0
43232,8,0.167320261437908
43233,10,Inf
43234,10,Inf
43235,0,0
43236,0,0
43258,0,0
43259,0,0
43260,0,0
43261,0,0
43262,0,0
43298,0,0
43299,0,0
43300,0,0
43313,0,0
43314,0,0
43315,0,0
43316,0,0
43319,0,0
43320,0,0
43321,4,0.121212121212121
43322,9,5.53846153846154
43323,10,Inf
43324,0,0
43325,0,0
43326,0,0
43327,0,0
43351,0,0
43352,0,0
43353,10,Inf
43354,11,Inf
43355,28,Inf
43356,8,Inf
43357,9,Inf
43358,10,Inf
43359,0,0
43360,0,0
43361,0,0
43362,11,Inf
43363,7,Inf
43364,11,Inf
43365,10,Inf
43366,10,Inf
43367,12,Inf
43368,10,Inf
43369,11,Inf
43370,10,Inf
43371,12,Inf
43372,4,Inf
43373,6,0.6
43374,0,0
43562,0,0
43873,0,0
43874,11,0.0803286170698311
43875,18,0.64
43876,18,16.9411764705882
43877,8,6.73684210526316
43878,8,0.50996015936255
43879,0,0
43880,0,0
43881,0,0
43882,7,0.038160136286201
43883,4,0.0445372303409882
43884,10,2.10526315789474
43885,9,Inf
43886,0,0
43887,0,0
43908,0,0
43909,0,0
43910,0,0
43911,0,0
43923,0,0
43924,0,0
43926,0,0
43947,0,0
43948,0,0
43949,9,Inf
43950,0,0
43951,0,0
43962,0,0
43963,0,0
43964,9,Inf
43965,7,2.03636363636364
43966,0,0
43967,0,0
43969,0,0
43970,12,7.11111111111111
43971,7,7
43972,4,0.576576576576577
43973,3,Inf
43974,0,0
43975,-1,-0.0180383314543405
43976,0,0
44002,0,0
44003,0,0
44004,0,0
44005,0,0
44006,0,0
44007,9,Inf
44008,8,Inf
44009,0,0
44011,0,0
44012,7,2.19607843137255
44013,9,10.2857142857143
44014,11,Inf
44015,3,Inf
44016,8,Inf
44017,10,Inf
44018,11,Inf
44019,11,Inf
44020,9,Inf
44021,11,Inf
44022,11,Inf
44023,11,Inf
44024,0,0
44025,0,0
44211,0,0
44212,0,0
44213,0,0
44214,0,0
44215,0,0
44216,0,0
44523,0,0
44524,19,3.75308641975309
44525,20,Inf
44526,12,Inf
44527,10,Inf
44528,7,0.168421052631579
44529,5,0.096969696969697
44530,5,0.0481637567730283
44531,5,0.0269814502529511
44532,6,0.0354505169867061
44533,6,0.0583941605839416
44534,6,0.482412060301508
44535,8,Inf
44536,9,Inf
44537,0,0
44538,0,0
44559,0,0
44560,0,0
44572,0,0
44573,0,0
44574,0,0
44575,0,0
44576,0,0
44596,0,0
44597,0,0
44598,12,Inf
44599,11,Inf
44600,9,Inf
44601,0,0
44610,0,0
44611,0,0
44613,0,0
44614,5,4.70588235294118
44615,6,1.06666666666667
44616,0,0
44618,0,0
44619,0,0
44620,8,0.757396449704142
44621,3,Inf
44622,0,0
44623,0,0
44624,0,0
44625,4,Inf
44626,0,0
44627,0,0
44634,0,0
44653,0,0
44656,0,0
44657,8,1.20754716981132
44658,9,16
44659,0,0
44661,0,0
44662,0,0
44663,6,48
44664,8,Inf
44665,6,Inf
44666,8,Inf
44667,9,Inf
44668,11,Inf
44669,10,Inf
44670,11,Inf
44671,10,Inf
44672,10,Inf
44673,8,0.147126436781609
44674,9,0.307692307692308
44675,0,0
44676,0,0
44861,0,0
44862,9,0.0306970795139629
44863,10,0.0308166409861325
44864,6,0.0245775729646697
44865,9,0.0360180090045022
44866,0,0
44867,0,0
45172,0,0
45173,0,0
45174,19,Inf
45175,15,Inf
45176,10,Inf
45177,11,6.76923076923077
45178,10,2.80701754385965
45179,9,1.8
45180,7,0.137931034482759
45181,7,0.101633393829401
45182,5,0.0715563506261181
45183,4,0.0779537149817296
45184,3,0.0505263157894737
45185,1,0.0864864864864865
45186,0,0
45187,7,28
45188,0,0
45209,0,0
45210,0,0
45211,0,0
45223,0,0
45224,8,1.40659340659341
45225,2,0.0438957475994513
45226,0,0
45246,0,0
45247,0,0
45248,10,Inf
45249,7,Inf
45250,0,0
45251,0,0
45260,0,0
45261,0,0
45262,0,0
45263,0,0
45264,8,Inf
45265,-1,-0.036117381489842
45266,0,0
45267,0,0
45268,0,0
45269,4,1.33333333333333
45270,8,3.65714285714286
45271,3,Inf
45272,-1,-Inf
45273,4,Inf
45274,7,Inf
45275,0,0
45276,0,0
45278,0,0
45279,0,0
45280,0,0
45282,0,0
45283,0,0
45284,0,0
45285,0,0
45305,0,0
45306,0,0
45307,6,0.190854870775348
45308,8,9.84615384615385
45309,0,0
45312,0,0
45313,0,0
45314,8,Inf
45315,10,Inf
45316,11,Inf
45317,12,Inf
45318,10,Inf
45319,8,Inf
45320,10,Inf
45321,11,Inf
45322,12,Inf
45323,11,Inf
45324,13,Inf
45325,11,Inf
45326,0,0
45327,0,0
45511,0,0
45512,11,0.0375988036744285
45513,13,0.0385899814471243
45514,9,0.0275598086124402
45515,8,0.030224321133412
45516,8,0.0294050080404319
45517,0,0
45823,0,0
45824,18,12
45825,12,Inf
45826,9,Inf
45827,10,Inf
45828,10,Inf
45829,9,1.13385826771654
45830,10,1.26984126984127
45831,7,0.134939759036145
45832,3,0.0323014804845222
45833,3,0.0230326295585413
45834,4,0.0241236336223144
45835,0,0
45836,0,0
45837,0,0
45838,0,0
45839,0,0
45859,0,0
45860,4,0.118081180811808
45861,0,0
45864,0,0
45872,0,0
45873,0,0
45874,8,0.962406015037594
45875,3,0.225352112676056
45876,0,0
45877,0,0
45897,0,0
45898,0,0
45899,0,0
45900,0,0
45908,0,0
45910,0,0
45911,4,4.26666666666667
45912,3,4
45913,1,Inf
45914,7,Inf
45915,0,0
45916,10,32
45917,6,Inf
45918,0,0
45919,-1,-0.222222222222222
45920,4,Inf
45921,0,0
45922,0,0
45923,0,0
45924,33,0.345549738219895
45925,0,0
45927,0,0
45928,0,0
45929,4,0.082687338501292
45930,0,0
45931,0,0
45932,0,0
45933,12,Inf
45934,11,Inf
45935,0,0
45936,0,0
45937,0,0
45955,0,0
45956,0,0
45957,0,0
45958,0,0
45959,0,0
45960,0,0
45963,0,0
45964,0,0
45965,0,0
45966,0,0
45967,0,0
45968,11,12.5714285714286
45969,11,Inf
45970,10,Inf
45971,11,Inf
45972,11,Inf
45973,11,Inf
45974,10,Inf
45975,11,Inf
45976,12,Inf
45977,0,0
45978,0,0
46161,0,0
46162,0,0
46163,10,0.0308939949797258
46164,11,0.0357142857142857
46165,11,0.0436183395291202
46166,6,0.0235467255334805
46167,0,0
46168,0,0
46473,0,0
46474,0,0
46475,0,0
46476,8,0.748538011695906
46477,9,Inf
46478,8,0.907801418439716
46479,0,0
46480,0,0
46481,0,0
46482,0,0
46483,0,0
46484,32,1.15056179775281
46485,0,0
46509,0,0
46510,2,0.444444444444444
46511,0,0
46513,0,0
46514,0,0
46515,0,0
46522,0,0
46523,3,0.0367816091954023
46524,0,0
46525,3,0.0636604774535809
46526,4,0.114285714285714
46527,0,0
46528,0,0
46532,0,0
46533,0,0
46558,0,0
46559,0,0
46560,0,0
46561,12,Inf
46562,9,Inf
46563,3,Inf
46564,7,Inf
46565,6,0.494845360824742
46566,8,Inf
46567,5,Inf
46568,0,0
46569,-1,-0.116788321167883
46570,2,0.0314033366045142
46571,3,Inf
46572,8,1.21904761904762
46573,-1,-0.0249609984399376
46574,3,0.0647773279352227
46575,0,0
46576,0,0
46577,0,0
46578,9,Inf
46579,2,0.0516962843295638
46580,9,Inf
46581,9,0.457142857142857
46582,11,Inf
46583,11,Inf
46584,11,Inf
46585,9,0.753926701570681
46586,0,0
46587,0,0
46613,0,0
46616,0,0
46617,0,0
46618,0,0
46619,12,Inf
46620,12,Inf
46621,8,Inf
46622,9,Inf
46623,9,Inf
46624,9,Inf
46625,11,Inf
46626,12,Inf
46627,12,Inf
46628,0,0
46629,0,0
46812,0,0
46813,0,0
46814,0,0
46815,0,0
46816,11,0.0361025641025641
46817,6,0.0297213622291022
46818,0,0
46819,0,0
47125,0,0
47126,0,0
47127,0,0
47128,0,0
47129,0,0
47133,0,0
47134,10,3.40425531914894
47135,0,0
47136,0,0
47159,0,0
47160,0,0
47161,0,0
47163,0,0
47164,0,0
47165,0,0
47166,0,0
47170,0,0
47171,0,0
47172,0,0
47173,2,0.0305635148042025
47174,6,0.260869565217391
47175,9,0.292089249492901
47176,4,0.0984615384615385
47177,1,0.0137575236457438
47178,0,0
47181,0,0
47182,0,0
47183,0,0
47184,0,0
47209,0,0
47210,12,Inf
47211,12,Inf
47212,10,Inf
47213,10,Inf
47214,9,Inf
47215,5,Inf
47216,8,Inf
47217,8,Inf
47218,7,2.03636363636364
47219,5,0.481927710843373
47220,10,3.13725490196078
47221,11,Inf
47222,8,4.74074074074074
47223,1,0.0215343203230148
47224,1,0.0145586897179254
47225,8,0.61244019138756
47226,9,Inf
47227,11,Inf
47228,14,Inf
47229,13,Inf
47230,10,Inf
47231,9,Inf
47232,9,Inf
47233,9,0.679245283018868
47234,12,Inf
47235,0,0
47236,0,0
47265,0,0
47266,0,0
47268,0,0
47269,0,0
47270,9,0.262773722627737
47271,9,Inf
47272,10,Inf
47273,11,Inf
47274,12,Inf
47275,12,Inf
47276,12,Inf
47277,11,Inf
47278,11,Inf
47279,0,0
47463,0,0
47465,0,0
47466,8,0.0305343511450382
47467,9,0.0355907068709837
47468,9,0.0366505472130313
47469,0,0
47775,0,0
47782,0,0
47783,0,0
47784,10,Inf
47785,10,8.42105263157895
47786,0,0
47787,0,0
47788,0,0
47810,0,0
47811,0,0
47814,0,0
47815,7,1.16666666666667
47816,0,0
47817,0,0
47820,0,0
47821,10,13.3333333333333
47822,9,1.75609756097561
47823,4,1.08474576271186
47824,4,0.142538975501114
47825,4,0.203174603174603
47826,4,2.56
47827,0,0
47828,0,0
47832,0,0
47833,11,Inf
47834,0,0
47835,0,0
47858,0,0
47859,0,0
47860,0,0
47861,9,Inf
47862,10,Inf
47863,8,Inf
47864,7,Inf
47865,5,Inf
47866,2,Inf
47867,0,0
47868,3,Inf
47869,4,3.36842105263158
47870,0,0
47871,0,0
47872,0,0
47873,10,1.15107913669065
47874,9,Inf
47875,10,Inf
47876,10,Inf
47877,13,Inf
47878,17,Inf
47879,17,Inf
47880,9,Inf
47881,9,Inf
47882,9,Inf
47883,0,0
47884,0,0
47885,0,0
47919,0,0
47920,0,0
47921,11,0.778761061946903
47922,11,Inf
47923,11,Inf
47924,12,Inf
47925,11,Inf
47926,10,Inf
47927,11,Inf
47928,12,Inf
47929,0,0
47930,0,0
48115,0,0
48116,10,0.0324609454250355
48117,8,0.0310453553237934
48118,8,0.0449122807017544
48119,0,0
48120,0,0
48432,0,0
48433,10,Inf
48434,11,Inf
48435,10,7.27272727272727
48436,11,176
48437,10,Inf
48438,0,0
48439,0,0
48459,0,0
48460,0,0
48461,0,0
48462,0,0
48464,0,0
48465,0,0
48466,10,Inf
48467,0,0
48470,0,0
48471,7,0.651162790697674
48472,0,0
48473,3,0.152866242038217
48474,0,0
48475,5,1.29032258064516
48476,1,1
48477,0,0
48478,0,0
48482,0,0
48483,9,Inf
48484,0,0
48485,0,0
48510,0,0
48511,7,Inf
48512,6,Inf
48513,6,Inf
48514,6,Inf
48515,8,Inf
48516,9,Inf
48517,8,Inf
48518,9,Inf
48519,5,1.26984126984127
48520,0,0
48522,0,0
48523,0,0
48524,6,Inf
48525,9,Inf
48526,11,8
48527,13,Inf
48528,18,Inf
48529,16,Inf
48530,9,Inf
48531,7,0.562814070351759
48532,0,0
48533,0,0
48565,0,0
48570,0,0
48571,0,0
48572,9,Inf
48573,8,Inf
48574,11,Inf
48575,11,Inf
48576,9,Inf
48577,9,Inf
48578,12,Inf
48579,12,Inf
48580,0,0
48765,0,0
48766,8,0.0338893301562086
48767,11,0.0323291697281411
48768,0,0
48769,0,0
48770,0,0
49081,0,0
49082,0,0
49083,0,0
49084,8,Inf
49085,9,Inf
49086,8,Inf
49087,9,Inf
49088,9,Inf
49089,0,0
49092,0,0
49110,0,0
49111,0,0
49112,0,0
49115,0,0
49116,16,Inf
49117,0,0
49120,0,0
49121,0,0
49122,1,0.0242792109256449
49123,-1,-0.0102432778489117
49124,9,Inf
49125,0,0
49126,0,0
49127,0,0
49131,0,0
49132,0,0
49133,10,Inf
49134,0,0
49159,0,0
49160,0,0
49161,8,Inf
49162,8,Inf
49163,8,Inf
49164,8,Inf
49165,0,0
49166,0,0
49167,0,0
49168,0,0
49169,0,0
49170,0,0
49173,0,0
49174,0,0
49175,0,0
49176,0,0
49177,0,0
49178,0,0
49179,0,0
49180,0,0
49181,0,0
49182,0,0
49215,0,0
49216,0,0
49221,0,0
49222,0,0
49223,0,0
49224,8,Inf
49225,11,Inf
49226,10,Inf
49227,9,Inf
49228,11,Inf
49229,11,Inf
49230,0,0
49231,0,0
49232,0,0
49415,0,0
49416,13,0.0467941507311586
49417,14,0.0432182133899286
49418,0,0
49733,0,0
49734,0,0
49735,0,0
49736,14,Inf
49737,9,Inf
49738,8,Inf
49739,0,0
49741,0,0
49742,0,0
49743,0,0
49761,0,0
49762,0,0
49763,0,0
49765,0,0
49766,17,Inf
49767,0,0
49768,0,0
49771,0,0
49772,1,0.0208604954367666
49773,-1,-0.129032258064516
49774,0,0
49775,0,0
49781,0,0
49782,1,0.32
49783,3,0.30379746835443
49784,0,0
49785,0,0
49806,0,0
49807,0,0
49808,0,0
49809,0,0
49810,10,Inf
49811,10,Inf
49812,7,Inf
49813,7,Inf
49814,7,Inf
49815,0,0
49866,0,0
49867,0,0
49873,0,0
49874,0,0
49875,0,0
49876,0,0
49877,0,0
49878,11,14.6666666666667
49879,11,Inf
49880,0,0
49881,0,0
49882,0,0
50064,0,0
50065,0,0
50066,12,0.0452083823875677
50067,14,0.0550233357897323
50068,0,0
50385,0,0
50386,0,0
50387,0,0
50388,8,Inf
50389,0,0
50390,0,0
50391,0,0
50392,8,5.81818181818182
50393,0,0
50394,0,0
50411,0,0
50412,9,Inf
50413,0,0
50414,0,0
50415,0,0
50416,14,Inf
50417,8,Inf
50418,0,0
50419,0,0
50420,0,0
50421,0,0
50422,0,0
50423,0,0
50424,0,0
50427,0,0
50428,0,0
50431,0,0
50432,4,Inf
50433,0,0
50434,1,2.66666666666667
50435,0,0
50458,0,0
50459,0,0
50460,0,0
50461,0,0
50462,8,Inf
50463,0,0
50464,0,0
50465,0,0
50468,0,0
50469,0,0
50470,0,0
50471,0,0
50516,0,0
50517,0,0
50518,0,0
50527,0,0
50528,0,0
50529,0,0
50530,0,0
50714,0,0
50715,12,0.0463992266795553
50716,12,0.0563711098062243
50717,13,0.0493709945407073
50718,0,0
50719,0,0
51037,0,0
51038,0,0
51039,8,Inf
51040,0,0
51041,0,0
51042,0,0
51043,12,3
51044,0,0
51045,0,0
51061,0,0
51062,0,0
51063,10,Inf
51064,1,0.0963855421686747
51065,6,Inf
51066,12,Inf
51067,7,Inf
51068,0,0
51069,3,Inf
51070,0,0
51071,0,0
51075,0,0
51076,0,0
51077,0,0
51078,0,0
51081,0,0
51082,1,Inf
51083,1,Inf
51084,5,Inf
51085,0,0
51100,0,0
51101,0,0
