new2kid,percent_frm,percent_grs,percent_wod,percent_urban,percent_water
"57867",0.0790625,0.05484375,0.15546875,0.6346875,0.0759375
"57868",0.4234375,0.08046875,0.46328125,0.0328125,0
"57869",0.463125,0.10078125,0.22078125,0.13953125,0.07578125
"57870",0.59171875,0.20734375,0.06328125,0.13765625,0
"57871",0.65078125,0.1853125,0.155625,0.00828125,0
"57872",0.650625,0.10453125,0.02234375,0.2225,0
"57873",0.7846875,0.08421875,0.1275,0.00359375,0
"57874",0.73859375,0.1778125,0.0553125,0.02828125,0
"57875",0.6265625,0.07046875,0.2540625,0.04890625,0
"57876",0.6246875,0.16796875,0.10234375,0.105,0
"57877",0.83578125,0.1184375,0.03234375,0.0134375,0
"57878",0.766875,0.078125,0.11125,0.04046875,0.00328125
"57879",0.82515625,0.0646875,0.0940625,0.01609375,0
"57880",0.41703125,0.03171875,0.03,0.2,0.32125
"58517",0.36859375,0.0278125,0.2115625,0.29859375,0.0934375
"58518",0.42375,0.0615625,0.1934375,0.1409375,0.1803125
"58519",0.42953125,0.1528125,0.1646875,0.08421875,0.16875
"58520",0.5659375,0.201875,0.09671875,0.13546875,0
"58521",0.53015625,0.260625,0.1971875,0.01203125,0
"58522",0,0.060033,0.039967,0.9,0
"58523",0.7403125,0.18015625,0.04140625,0.038125,0
"58524",0.760625,0.1353125,0.1040625,0,0
"58525",0.74125,0.09125,0.1475,0.02,0
"58526",0.64765625,0.264375,0.06,0.02796875,0
"58527",0.82375,0.05,0.1034375,0.0228125,0
"58528",0.7759375,0.0765625,0.1090625,0.0384375,0
"58529",0.85484375,0.06125,0.06796875,0.0159375,0
"58530",0.096875,0.04671875,0.065625,0.6990625,0.09171875
"59169",0.45,0.1778125,0.1628125,0.0459375,0.1634375
"59170",0.645625,0.12125,0.16546875,0.01125,0.05640625
"59171",0.26515625,0.094375,0.094375,0.4159375,0.13015625
"59172",0,0.071478,0.0063345,0.9090625,0.013125
"59173",0.495,0.16421875,0.095,0.24578125,0
"59174",0.67828125,0.06015625,0.256875,0.0046875,0
"59175",0.8259375,0.056875,0.10515625,0.01203125,0
"59176",0.77640625,0.1228125,0.09796875,0.0028125,0
"59177",0.69296875,0.2140625,0.0421875,0.05078125,0
"59178",0.7534375,0.051875,0.13203125,0.06265625,0
"59179",0.82625,0.08328125,0.078125,0.01234375,0
"59180",0.406875,0.10578125,0.00859375,0.47875,0
"59181",0.15515625,0.04546875,0.00578125,0.40828125,0.3853125
"59817",0.5271875,0.0921875,0.1378125,0.02421875,0.21859375
"59818",0.78265625,0.06890625,0.128125,0.00625,0.0140625
"59819",0.58609375,0,0.31328125,0.01203125,0.08859375
"59821",0.43953125,0.03984375,0.2746875,0.04484375,0.20109375
"59822",0.526253,0.1090625,0.18609375,0.0815595,0.09703125
"59823",0.641875,0.17734375,0.17875,0.00203125,0
"59824",0.8903125,0.03953125,0.063125,0.00703125,0
"59825",0.80265625,0.0690625,0.06828125,0.06,0
"59826",0.7271875,0.15046875,0.084375,0.03796875,0
"59827",0.81203125,0.1296875,0.02453125,0.03375,0
"59828",0.8540625,0.0190625,0.12296875,0.00390625,0
"59829",0.79984375,0.106875,0.08671875,0.0065625,0
"59830",0.81140625,0.06890625,0.04078125,0.07890625,0
"59831",0.8265625,0.04421875,0.08328125,0.0459375,0
"59832",0.77359375,0.06125,0.00671875,0.0753125,0.083125
"59833",0.59984375,0.05578125,0.02109375,0.07109375,0.2521875
"59834",0.50828125,0.0615625,0.030625,0.01671875,0.3828125
"59835",0.60125,0.059375,0.0146875,0.02609375,0.29859375
"60466",0.4375,0.0225,0.1059375,0.01625,0.4178125
"60467",0.56171875,0.0690625,0.12703125,0.075,0.1671875
"60468",0.7165625,0.089375,0.17484375,0.018125,0.00109375
"60469",0.7009375,0.0340625,0.23234375,0.03265625,0
"60470",0.42046875,0.0203125,0.3603125,0.001875,0.19703125
"60471",0.65765625,0.04703125,0.2853125,0.01,0
"60472",0.71203125,0.0859375,0.153125,0.02703125,0.021875
"60473",0.7190625,0.04484375,0.1571875,0.0759375,0.00296875
"60474",0.819375,0.0371875,0.1390625,0.004375,0
"60475",0.82796875,0.01953125,0.12734375,0.02515625,0
"60476",0.78140625,0.0809375,0.1128125,0.02484375,0
"60477",0.79453125,0.06875,0.100625,0.03609375,0
"60478",0.85578125,0.10421875,0.0378125,0.0021875,0
"60479",0.70140625,0.13671875,0.1371875,0.0246875,0
"60480",0.79828125,0.0678125,0.11828125,0.01234375,0.00328125
"60481",0.77015625,0.02890625,0.10953125,0.0525,0.03890625
"60482",0.5,0.09140625,0.14078125,0.2678125,0
"60483",0.83,0.07078125,0.08453125,0.0146875,0
"60484",0.80234375,0.08109375,0.00265625,0.11390625,0
"60485",0.8503125,0.0403125,0.09203125,0.01734375,0
"60486",0.935,0.01984375,0.0159375,0.02921875,0
"60487",0.7428125,0.04546875,0.00984375,0.10203125,0.09984375
"61119",0.786875,0.0253125,0.15953125,0.01296875,0.0153125
"61120",0.706875,0.0309375,0.1271875,0.03140625,0.10359375
"61121",0.56578125,0.01375,0.3990625,0.02140625,0
"61122",0.671875,0.0665625,0.25046875,0.01109375,0
"61123",0.7284375,0.10234375,0.06640625,0.1028125,0
"61124",0.75203125,0.051875,0.15859375,0.0375,0
"61125",0.7125,0.1165625,0.1425,0.0284375,0
"61126",0.66703125,0.0390625,0.273125,0.02078125,0
"61127",0.8346875,0.0865625,0.073125,0.005625,0
"61128",0.59921875,0.2878125,0.09359375,0.019375,0
"61129",0.54796875,0.3184375,0.13328125,0.0003125,0
"61130",0.804375,0.0840625,0.08359375,0.01671875,0.01125
"61131",0.829375,0.07578125,0.0728125,0.02203125,0
"61132",0.68359375,0.06578125,0.24453125,0.00609375,0
"61133",0.9209375,0.05953125,0.01953125,0,0
"61134",0.88265625,0.0528125,0.03359375,0.0309375,0
"61135",0.83203125,0.064375,0.06078125,0.0428125,0
"61136",0.89296875,0.04265625,0.00046875,0.06390625,0
"61137",0.7896875,0.02484375,0.0065625,0.1128125,0.06609375
"61769",0.7403125,0.01234375,0.14671875,0.04625,0.054375
"61770",0.835,0.0571875,0.0953125,0.0125,0
"61771",0.694375,0.08875,0.18640625,0.03046875,0
"61772",0.70546875,0.048125,0.230625,0.01578125,0
"61773",0.7253125,0.0996875,0.125625,0.049375,0
"61774",0.94015625,0.02625,0.02515625,0.0084375,0
"61775",0.77015625,0.10375,0.0578125,0.06828125,0
"61776",0.73,0.100625,0.08984375,0.07953125,0
"61777",0.75234375,0.115,0.10359375,0.0290625,0
"61778",0.4896875,0.14140625,0.25671875,0.1121875,0
"61779",0.52046875,0.21203125,0.18125,0.08625,0
"61780",0.505625,0.3603125,0.1315625,0.0025,0
"61781",0.69421875,0.10453125,0.0396875,0.15015625,0.01140625
"61782",0.81,0.11109375,0.061875,0.01703125,0
"61783",0.88484375,0.01890625,0.09625,0,0
"61784",0.79109375,0.13,0.07203125,0.006875,0
"61785",0.88859375,0.05234375,0.048125,0.0109375,0
"61786",0.79984375,0.13875,0.0046875,0.02296875,0.03375
"61787",0.78875,0.00890625,0.011875,0.18859375,0.001875
"61788",0.6865625,0,0.0121875,0.0140625,0.2871875
"62419",0.591875,0.023125,0.08125,0.02125,0.2825
"62420",0.87171875,0.06125,0.04796875,0.0190625,0
"62421",0.844375,0.0990625,0.04484375,0.01171875,0
"62422",0.73015625,0.06984375,0.12328125,0.07671875,0
"62423",0.75171875,0.060625,0.16359375,0.0240625,0
"62424",0.7921875,0.10421875,0.0640625,0.03953125,0
"62425",0.66734375,0.01765625,0.30046875,0.01453125,0
"62426",0.86734375,0.035625,0.05421875,0.0428125,0
"62427",0.225625,0.56640625,0.1496875,0.05828125,0
"62428",0.31484375,0.4540625,0.198125,0.03296875,0
"62429",0.56203125,0.1140625,0.2484375,0.07546875,0
"62430",0.73109375,0.06171875,0.11203125,0.09515625,0
"62431",0.758125,0.05625,0.15953125,0.02609375,0
"62432",0.6728125,0.12125,0.150625,0.0553125,0
"62433",0.77546875,0.1028125,0.0784375,0.04328125,0
"62434",0.71671875,0.25875,0.01578125,0.00875,0
"62435",0.8853125,0.06296875,0.03265625,0.0190625,0
"62436",0.86609375,0.06140625,0,0.01875,0.05375
"62438",0.121875,0.2734375,0.0171875,0.2475,0.34
"63070",0.49859375,0.08484375,0.16828125,0.01359375,0.2346875
"63071",0.84984375,0.0440625,0.084375,0.02171875,0
"63072",0.85515625,0.08,0.036875,0.02796875,0
"63073",0.88625,0.0396875,0.01390625,0.06015625,0
"63074",0.885,0.044375,0.02921875,0.04140625,0
"63075",0.7334375,0.0684375,0.1184375,0.0796875,0
"63076",0.7371875,0.04546875,0.051875,0.16546875,0
"63077",0.3253125,0.49140625,0.15015625,0.033125,0
"63078",0.26125,0.48609375,0.1603125,0.06640625,0.0259375
