new2kid,tot_es,tot_es_ha
130700,270739.992835091,4718.77983154844
130701,1555274.81493588,5023.09185284096
130702,1696892.64061383,6251.50293544071
130703,2158372.96576081,7170.6743048532
130704,2401084.77373619,6918.30557268767
130705,2110957.54071873,6358.30584553834
130706,2363380.93804447,6815.8065985421
130707,2312559.40921277,6701.85567576885
130708,2168469.68864729,6216.71923400488
130709,2232104.74226642,6091.36466027136
130710,1566324.41711597,6021.42976305996
130711,1814389.59915827,5733.79992089521
130712,1575160.35008697,6621.79863410182
130713,1585675.50068383,5660.59973470355
130714,1988414.01988491,6567.8415190253
130715,1618756.6787517,6074.13387899326
130716,2061299.85290047,6126.84241964212
130717,1273656.9104056,5832.43004192607
130718,1862353.23774217,5823.26502741111
130719,1995427.39312317,5915.66306419126
130720,2243391.13369338,6330.55699102187
130721,1574709.90389988,5524.08551702031
130722,1101203.17694209,5962.5198176168
130723,903709.57386883,6524.97887269913
130724,1643085.33224556,6333.25951561585
130725,1100703.6394213,6337.26274232842
130726,1021597.00873541,6248.29974761717
130727,1531084.8658794,5940.19346606945
130728,2058305.78300312,6240.83523505434
130729,2566762.10952414,7760.4296584252
130730,2264694.88310187,6883.57107325797
130731,1624313.88388397,6755.65810699687
130732,1952495.75982228,5704.88169414838
130733,1616070.44106747,5183.86669147545
130734,1875026.80030626,5950.10487998813
130735,1661772.14746478,5941.53063825966
130736,2168150.81317894,6502.41945809325
130737,2336027.98741457,7366.26878175662
130738,3300983.87305887,9303.45860950766
130739,2392844.72240293,7625.07657008279
130740,2001643.62351097,7396.37366655324
130741,2574256.21766798,7721.8034275755
130742,2495654.79984476,7579.81715974112
130743,1877015.4327434,7335.67340593414
130744,2399105.41621927,7321.32000809695
130745,2358100.96369442,7207.18426998343
130746,1772929.3360069,6100.40201636783
130747,989096.832391525,6031.07824628979
130748,1972688.27526394,6294.97654651435
130749,2335991.52475657,7236.37146311866
130750,0,0
130751,-37304.9462795226,-335.325359815934
130752,1778230.37709796,5929.90538423665
130753,1862289.33536614,5818.51683480664
130754,1864795.15659462,5259.42504811808
130755,1758260.25784184,5370.78352910832
130756,1059330.5077609,4174.70150841733
130757,1284993.13180978,5537.27058420147
130758,1767312.72166838,5580.61951493951
130759,1513816.69979459,5516.06986651278
130760,1861321.12857877,5970.55694812758
130761,1518664.86453764,5570.52678418208
130762,1471499.45578133,5769.17095740371
130763,1916371.66324518,7134.00339970287
130764,1747367.93287218,7886.56716973233
130765,2570416.72038838,8286.65341464666
130766,2459120.29756779,8214.18053467322
130767,3084298.38348272,8751.33306165225
130768,3421095.48850273,8951.35251920879
130769,2714293.60350647,8794.79498908537
130770,2812135.44894665,9906.24552689265
130771,0,0
130772,1364049.96488104,6930.70622214406
130773,1972312.55144526,7560.37393941642
130774,2590775.10629956,8067.8088168145
130775,1838075.35213603,7513.84916560464
130776,2185915.43475202,8526.24255388402
130777,2713352.881127,8081.46800037827
130778,2240227.97345127,7167.29490929502
130779,2094022.18517493,6768.55655814117
130780,1908882.33961559,6843.40397919028
130781,1552393.55061009,6519.2380078114
130782,454719.949997578,6831.46829557429
130783,0,0
130784,1115724.00195592,6283.55473581516
130785,1600693.29170316,6063.23216554225
130786,946953.540996892,4533.58966365957
130787,320743.515423129,1367.41144493496
130788,611542.587412428,5779.49012109081
130789,6627.94556728463,2305.37237122943
130790,0,0
130791,0,0
130792,27694.6307299282,2344.50907974385
130793,-65952.2089525629,-9593.04857491823
130794,0,0
130795,0,0
130796,0,0
130797,0,0
130798,59461.4790349892,5170.56339434689
130799,388368.371393457,5379.99102883333
130800,425309.654912836,4895.65070403264
130801,268355.775927629,4958.07438203471
130802,947266.742813817,4856.2204421803
130803,503370.29347679,5376.4517327294
130804,249208.3545035,5986.98749557959
130805,1298989.06440827,6967.42187616318
130806,204478.343799058,5293.93770353547
130807,254611.047673747,4073.77676277995
130808,977626.53078725,5024.74155888299
130809,678695.224736873,4389.29813896119
130810,1731037.46830889,5248.54942090255
130811,2058506.44068108,6003.66442779754
130812,2272182.91954249,6056.12558183898
130813,2230648.68069012,6101.96170447472
130814,1710529.89876285,5523.40544126766
130815,2097229.7310125,6001.72972541875
130816,2375728.64525568,6011.64850779251
130817,2249278.81906214,6033.27012210865
130818,2138546.19761622,5979.85654698699
130819,2112198.58177177,5848.94034412398
130820,1022833.80350394,4264.02836270531
130821,1358852.6092548,4514.46049586312
130822,939631.463635447,4423.09499255403
130823,1123927.33334071,4552.61704644338
130824,1093753.63289589,4501.04375677319
130825,691305.891044675,3162.0623947155
130826,554999.032668414,3229.08528097986
130827,117840.188531115,3036.13621189835
130828,380.948798909296,3047.59039127437
130829,0,0
130830,74926.0270287478,2749.57897353203
130831,75619.8357644714,2484.42584125435
130832,43728.7583883397,1012.53158348505
130833,183363.776099003,2546.71911248615
130834,17649.9527620246,1661.17202466114
130835,0,0
130836,0,0
130837,0,0
130838,-56780.1289101289,-151413.677093677
130839,170265.588160338,2253.3065408769
130840,514035.013038097,3752.08038713939
130841,270139.508443911,3376.74385554889
130842,102557.747478925,2676.87082898228
130843,447245.739661848,4546.33534599083
130844,140634.449906304,3155.88874304329
130845,117606.535855293,1546.18187077995
130846,0,0
130847,0,0
130848,183565.662093133,2399.55113847233
130849,19262.4122663501,1938.34619864555
130850,0,0
130851,0,0
130852,-48131.9993347095,-16043.9997782365
130853,0,0
130854,-7153.1385438024,-6732.0488859841
130855,-26639.4129485308,-1231.88036756212
130856,25610.8246823988,1084.05607121265
130857,39685.9659832927,1990.51367812458
130858,515674.365499334,3880.89832925181
130859,277635.70227278,2001.87906032502
130860,861378.751023507,3732.95233379635
130861,1188063.95843044,4176.8885944575
130862,-315.04517822247,-1.75025099012483
130863,387744.58400547,3810.75758236334
130864,80376.1488548306,1816.41014361199
130865,0,0
130866,-24937.7774695121,-6879.38688814126
130867,429041.735845578,3081.08966495927
130868,532506.667094985,4298.74201489392
130869,645257.168636625,4851.55765892199
130870,1121593.6858546,4628.70654390209
130871,1094627.61449855,4368.68005413637
130872,-423320.737154489,-2226.53905143716
130873,1648731.20783673,6483.09022829086
130874,1943815.30968161,5515.34678890378
130875,497225.919277221,3451.4585454528
130876,1446966.53678103,4599.932626376
130877,713706.821526811,4485.19605044343
130878,17787.7917109555,3093.52899320965
130879,8218.59364260562,2739.53121420187
130880,689888.655005648,3801.03942151872
