new2kid,tot_es,tot_es_ha
145854,228213.555418451,614.509741954766
145855,145848.882658626,395.321329202262
145856,114887.224989507,349.865930687496
145857,12254.2442119849,350.121263199568
145858,19302.4194950902,196.212650521883
145859,1015.32580941272,200.556203773339
145860,-24242.9155745187,-1821.05724106341
145861,55210.4091595836,408.587671856308
145862,102336.641808335,384.633770548824
145863,588108.818305963,1822.18069188525
145864,71467.21534677,403.342195017483
145865,36556.0981154898,359.936788860557
145866,49836.2226053228,515.769444815759
145867,98512.0113263823,474.6136108194
146179,3069.71376179525,94.4527311321614
146182,7196.56457177986,98.4145582465622
146183,4318.27566860373,94.1313497243319
146185,5520.76264612459,93.8704859103132
146190,-16751.2799619461,-478.607998912744
146191,-4505.2060383246,-483.777916717183
146192,0,0
146193,-1606.30395472742,-475.941912511828
146194,-328.549108377628,-477.854859104978
146195,-2293.30828339511,-118.747047044285
146196,-1182.29331954731,-130.459232726695
146197,-84.889381424836,-452.622668220933
146198,-3516.99511202794,-423.094611404195
146199,0,0
146200,-244.824637581071,-435.205115244993
146201,0,0
146202,-587.481938592864,-27.8922513462455
146288,241788.194618286,802.78283288365
146289,175537.665058975,630.438190032111
146290,157014.209639351,476.251558905852
146291,161317.331004561,519.01807377006
146292,201476.88613555,664.666016117278
146293,107488.24538002,398.104612518592
146294,-29232.7480717212,-437.533787764742
146295,246289.748848481,916.853415908725
146296,230233.476202746,884.87506878306
146297,36015.6748093044,569.417783546314
146302,83027.9427407405,376.650632983085
146303,-126874.303937033,-12929.7994850505
146304,-152156.429063249,-1463.04258714662
146305,71710.5635690518,369.880405256231
146306,90682.7930945093,454.835325865878
146307,276107.412336376,905.455600126571
146308,-110619.665490698,-430.008417845279
146309,222336.199130359,800.490365905881
146310,267001.814117327,920.695910749405
146311,329373.357941914,1005.1445590225
146312,186491.382074514,617.648855117603
146313,188694.587466377,597.844237517235
146314,90219.5063975294,272.412131426829
146315,120122.366228179,365.878082419264
146316,-545552.610026256,-1996.07595782285
146317,131773.246395856,449.833919877653
146318,196789.549363415,614.487273578189
146319,159143.262381651,523.067419495977
146320,159595.79563828,429.309470445944
146321,113984.189657789,393.218420552959
146322,97775.690464991,368.530212630315
146323,134716.996886267,417.24195706161
146324,108471.111438097,592.131460015141
146325,228039.594130645,698.837951928741
146326,208035.729563638,536.347353048374
146327,128284.717343402,361.938844638221
146328,176489.002492746,517.563057163478
146329,138828.66410271,565.637426313579
146330,166902.992475709,624.22811585118
146331,77752.2512853356,395.685757177281
146332,54900.0437691686,305.424443778407
146333,1867.16851150529,403.712110595738
146334,78914.0702979705,426.333934981731
146335,-124303.487730105,-1169.22684791311
146336,48228.7728952155,424.455647042601
146337,158598.614506237,512.22806461441
146338,112116.528349348,345.106666715961
146339,102277.617122969,352.757402837158
146340,144028.459856841,401.612993675403
146341,150515.197668708,474.811349112644
146342,206680.168119719,627.61096751314
146343,461426.63359411,1526.32311690041
146344,307749.017124497,1122.6594331947
146345,112266.191335568,722.840435853817
146346,85464.5064660858,440.113212541617
146347,-80080.1416320792,-294.683133880696
146348,116365.441710982,607.454023299346
146349,-103135.156597193,-1343.78054198298
146350,51885.7828860893,198.368546590822
146351,-324838.561217781,-2401.7638537359
146352,-52919.8891368131,-323.545268380892
146353,-30277.2699018998,-1164.5103808423
146354,236369.784386618,1553.78658594326
146355,302378.799916144,1247.56596149002
146356,181000.794180998,724.365359403692
146357,311919.010201826,1003.96366124689
146358,209412.162759473,690.98660576661
146359,210247.586503369,723.276887859039
146360,157235.55789957,488.498820658859
146361,178679.005845028,541.348922636111
146362,195352.070792181,648.471604289399
146363,145951.725991933,521.838480089417
146364,222795.466659389,592.935373677683
146365,170882.620036895,500.846587271121
146366,187739.709655283,565.694040392565
146367,257713.801621107,732.401567662116
146368,270374.109280546,978.729807350392
146369,581208.790292143,1825.90598546034
146370,316138.376752986,1091.54381269913
146371,341781.853851092,961.749852553195
146372,176434.572512027,536.98929629085
146373,219262.431783122,683.592928396326
146374,275076.35837077,931.672678647823
146375,270124.667246054,816.086607994122
146376,252598.090700187,900.126826548549
146377,245614.746598613,709.740902616052
146378,167027.441278811,518.718761735439
146379,195224.201107266,590.13541386887
146380,172448.772537005,497.23913548401
146381,170716.830220062,488.722292457178
146382,268900.218272603,857.735943453279
146383,167737.63163509,495.257743117778
146384,142902.195362878,425.779353036507
146385,242875.500751611,704.752994563978
146386,59063.6271346186,400.670414448068
146387,468.047807821476,394.128927473771
146388,0,0
146389,259376.155698966,872.585889651695
146390,143273.363193691,451.87728160797
146391,144173.204247444,435.075682376294
146392,109177.101559101,445.393581067215
146393,143661.914069778,455.076274214102
146394,282866.780001016,824.233804521802
146395,241907.473908359,701.308030709789
146396,423401.068313771,1496.44707220293
146397,73915.4061218612,366.371281892744
146398,60268.1559089197,285.208596975994
146399,149651.498805377,530.209030311345
146400,113412.667707357,344.653828602971
146401,329593.643911827,989.213564287821
146402,110799.130529415,584.306555197972
146403,36386.9233737804,340.661498801221
146404,-300326.71482469,-3309.16649945667
146405,56704.990671759,293.428153540797
146406,41926.6333275335,203.280646436526
146407,50705.3962206802,271.878800110886
