new2kid,ghg,rec,flooding,totn,totp,hectares_chg
86819,105470.543492644,0,4508.51565244371,1772.33077404142,407.833514863297,115.625
86820,14253.7636606836,0,208.260537098547,4247.50347817417,961.339692356099,31.81255
86821,0,0,0,0,0,0
86822,0,0,0,0,0,0
86823,7110.86860381136,0,1815.89979883044,26581.9768526442,5635.1234497985,26.375
86824,4743.49571750441,0,967.570337064759,23658.4861462541,5060.32198385373,20.875
86825,0,0,0,0,0,0
86826,0,0,0,0,0,0
86827,0,0,0,0,0,0
86828,10816.2188933224,0,0,17401.5279155176,2730.07035207063,23.25
86829,61130.5130156172,0,0,73661.2002934937,9554.83674896392,109.5
86830,0,0,0,0,0,0
86831,0,0,0,0,0,0
86832,0,0,0,0,0,0
86833,0,0,0,0,0,0
86834,0,0,0,0,0,0
86835,0,0,0,0,0,0
86836,0,0,0,0,0,0
86837,0,0,0,0,0,0
86838,0,0,0,0,0,0
86839,0,0,0,0,0,0
86840,0,0,0,0,0,0
86841,0,0,0,0,0,0
86842,0,0,0,0,0,0
86843,0,0,0,0,0,0
86844,2784.95810013312,0,89.2406448576517,45.877165062249,6.163319035504,6.375
86845,0,0,0,0,0,0
86846,0,0,0,0,0,0
86847,4809.72814816872,0,913.976647116698,42.1457088241049,3.53681815937068,9.06255
86848,0,0,0,0,0,0
86849,0,0,0,0,0,0
86850,0,0,0,0,0,0
86851,0,0,0,0,0,0
86852,0,0,0,0,0,0
86853,0,0,0,0,0,0
86854,0,0,0,0,0,0
86855,0,0,0,0,0,0
86856,0,0,0,0,0,0
86857,0,0,0,0,0,0
86858,0,0,0,0,0,0
86859,0,0,0,0,0,0
86860,0,0,0,0,0,0
86861,0,0,0,0,0,0
86862,0,0,0,0,0,0
86863,2686.61996397022,0,1392.65105476152,57.9858508514717,13.1487867724579,14.125
86864,-3766.67475270332,0,2295.42409095539,479.856926013287,111.864294623736,109.43755
86865,25162.744272498,0,2928.23789226077,303.342304447985,70.0356093314554,67.43755
86866,69877.8321126269,0,0,531.763877383687,120.185158340653,122.625
86867,43209.2674630172,0,0,278.526486356637,61.9992544682719,53.06255
86868,17051.5333095205,0,0,31.7119056895076,7.08993965664775,20.93755
86869,47129.1549197221,0,0,2.11812516741169,0.486296876238409,52.81255
86870,293056.903166198,0,0,9.15620313074435,2.04167446801458,301.56255
86871,2490.14954892046,0,0,0,0,2.56255
86872,0,0,0,0,0,0
86873,0,0,0,0,0,0
86875,112216.950327891,0,0,0,0,113.625
86876,98524.9378128248,0,0,0,0,98.68755
86877,259977.913972235,0,0,0,0,258.31255
86878,247651.048234801,0,0,0,0,251.25
86879,105608.054205662,0,0,0,0,111.25
86880,0,0,0,0,0,0
86881,118769.419326503,0,0,0,0,128.125
86882,303733.838825227,0,0,0,0,305.18755
86884,97234.9553228041,0,0,0.400583778147891,0.186716483907246,101.93755
86885,275667.969300685,0,0,0,0,280.875
86886,83826.3480122265,0,0,36.3426596351021,8.0125145286946,107.125
86887,0,0,0,0,0,0
86888,0,0,0,0,0,0
86889,0,0,0,0,0,0
86890,362.444776977533,0,24.3270811483675,18.2021180907315,4.3807057979006,12.25
86891,5753.84615181177,0,158.128450907618,120.638390548835,28.7737999163725,51.56255
86892,3988.96055202255,0,48.2786264855169,8.20195168217092,1.96658054937636,38.75
86893,423.38052907977,0,0,0,0,0.93755
86894,18900.8825101237,0,0,0,0,24.4792
86895,14768.2971802637,0,480.338016700604,0,0,20.31255
86896,6.11720153214839,0,1.91263930064378,0.00846393463061025,0.0021087950648362,0.125
86897,-59.045658175502,0,30.6765605993961,0.295912326377449,0.0739433653539212,1.75
86898,0,0,0,0,0,0
86899,0,0,0,0,0,0
86900,0,0,0,0,0,0
86901,-1237.77825704948,0,27.9057789617753,0,0,65.81255
86902,1984.59195548165,0,96.8547665839243,0,0,85
86903,117.264176795873,0,4.54400270378048,0,0,2.06255
86904,0,0,0,0,0,0
86905,0,0,0,0,0,0
86906,0,0,0,0,0,0
86907,0,0,0,0,0,0
86908,0,0,0,0,0,0
86909,0,0,0,0,0,0
86910,0,0,0,0,0,0
86911,0,0,0,0,0,0
86912,0,0,0,0,0,0
86913,0,0,0,0,0,0
86914,0,0,0,0,0,0
86915,0,0,0,0,0,0
86916,0,0,0,0,0,0
86917,60.6430760231697,0,0,0,0,6.31255
86918,1376.42204497466,0,0,0,0,14.625
86919,1310.21996244062,0,0,0,0,13.06255
86920,0,0,0,0,0,0
86921,0,0,0,0,0,0
86922,-58.790718991337,0,0.264453199618506,0,0,1
86923,0,0,0,0,0,0
86924,0,0,0,0,0,0
86925,0,0,0,0,0,0
86926,0,0,0,0,0,0
86927,0,0,0,0,0,0
86928,0,0,0,0,0,0
86929,4867.78804482496,0,0.259968974845795,0,0,36.5
86930,2313.16043523473,0,0.280773509584658,0,0,13.18755
86931,14066.1382491352,0,-6.51024175419327e-16,0,0,46.31255
87119,272588.328555489,63788.7094541946,0,0,0,285.68755
87120,349184.392398502,93404.9627396239,0,0,0,338.93755
87121,327428.427673821,96096.1348224033,0,0,0,310
87122,385162.599320424,109298.383655265,0,0,0,357
87123,353284.927378162,77200.1199752438,0,0,0,295.18755
87124,395211.600509006,30937.6108067358,0,0,0,314.18755
87125,451804.583293363,0,0,0,0,338.93755
87126,457209.768230514,17360.931173529,7.57729565195954,0,0,337.81255
87127,500086.240461553,52402.4210706035,55733.3404768944,0,0,371.06255
87128,503130.071637443,44157.5858848054,57992.6004272189,0,0,338.43755
87129,399183.664594954,-50954.6709605894,0,0,0,274.68755
87130,380652.659428022,17401.4407646422,0,0,0,308.43755
87131,197487.534251252,-9871.4884449681,0,11866.2437382616,2851.50517577443,195.875
87132,29571.9577809626,-101239.080687545,0,1917.25336896705,460.756425149449,38
87133,170302.50647173,-432083.248259362,0,2106.54280680398,520.971655104062,183.43755
87134,114896.520740732,-167041.30702702,0,904.617483729831,248.371792737585,115.875
87135,58944.2419694152,-227974.151357431,0,323.704802272516,97.7459540592452,61.75
87136,75319.8422985645,-146959.643725556,88.4354111614306,473.073228406336,141.093215828264,91.125
87137,88802.008918805,-25752.9199711253,0,620.850132859125,166.319897930425,105.31255
87138,203373.760511535,-14328.0510672806,600.657664499876,596.541294562569,180.838576169077,218.68755
87139,103923.558763396,-4436.5830335708,404.949725487322,309.768961555697,93.2136572738429,121.75
87140,750.554614931168,-263069.663446811,336.835814946958,2.28762600347398,0.668845035294169,1
87141,23879.7474915189,-14048.4969765708,75174.6287588913,0,0,29.43755
87142,249027.405116943,137.444811622229,340212.537453605,1439.4872306606,419.46335424241,230.18755
87143,280422.80726507,7381.28863081491,3714.63489925077,2363.83031687579,693.611033652016,230.18755
87144,387542.955305672,4309.13791513696,-4989.23979246242,0,0,299.375
87145,337440.324369151,0,-3225.2601186128,0,0,277.75
87146,380716.192285628,0,1323824.0804358,-11880.0449768708,-1776.81078048229,315.06255
87147,355655.548967948,4212.22349967268,0,-685.797566777253,-102.403608290983,280.375
87148,361791.649413603,2405.01694256566,0,0,0,305.31255
87149,361143.477777187,838.0677833783,0,0,0,309.875
87150,437894.522083511,0,110761.766975446,0,0,368.06255
87151,395866.812364489,0,0,0,0,346.81255
87152,384681.255120231,0,39375.2175476793,0,0,334.375
87153,372636.372516059,1113.6957632394,0,0,0,316.81255
87154,317132.375898566,-47377.6448562685,0,0,0,280.68755
87155,265349.369436813,-5334.35546832716,0,0,0,230.125
87156,363298.156322528,0,0,0,0,308.375
87157,377035.892416962,10926.9557756063,4365.43037469285,0,0,302.06255
87158,396712.721565045,5621.78049084776,0,0,0,318.5
87159,438845.332157706,9579.08783081598,0,0,0,346.5
87160,440454.041032606,0,0,0,0,345.31255
87161,442318.885733161,0,0,0,0,321.56255
87162,550798.605819506,0,1025123.55489237,0,0,368.06255
87163,460663.811090628,0,434139.309335609,0,0,312.875
87164,425625.860937366,12762.2128134113,43318.4180483936,0,0,296
87165,421447.811537323,16162.6103136109,9219.37281160958,0,0,311.56255
87166,363481.160777065,3900.40389472285,19333.9820157723,4846.45079886625,1288.51544590542,280.06255
87167,426824.678360376,1117.57854817137,43318.9363341221,11713.6903876933,3089.12103323801,324.56255
87168,278723.687711816,-8508.25347863123,36682.6106113989,11369.8898216054,2973.00234421236,320.375
87169,239358.315582865,0,54449.2501535023,12805.8414998346,3336.17159580871,335.375
87170,195367.424433501,-58607.4679019189,0,12668.8852113302,3286.24891643659,325.43755
87171,54634.6626844529,-4378.23306876625,20719.6807092778,4168.87962888466,1078.34974649085,180.875
87172,222015.266812618,-3032.16170922521,0,0,0,313.75
87173,364922.201922133,-1758.27297192577,0,-985.620107171625,-103.240181162945,335.625
87174,174498.556889369,-56816.5276005375,0,-615.036539596205,-63.7197075261477,152.375
