new2kid,tot_es,tot_es_ha
38773,-8714.58472346595,-888.110545066594
38774,-41556.8377018129,-509.899849101999
38775,-6308.65191037437,-539.777703561443
38776,9996.44545915362,141.919367654355
38799,0,0
38800,0,0
38801,0,0
38802,0,0
38803,0,0
38804,0,0
38805,0,0
38806,0,0
38807,0,0
38808,0,0
38809,0,0
38810,0,0
38811,0,0
38812,0,0
38813,0,0
38814,0,0
38815,0,0
38819,26133.3382688768,1472.30074754236
38820,0,0
38821,68437.3785635073,1649.09345936162
39327,258825.192888154,17112.4094471506
39328,567717.64222642,11600.8713609486
39329,31233.3031969162,3814.75458893633
39330,50225.9047058744,1554.38002958219
39331,970422.503169642,7849.7270226058
39332,1215978.94890374,12479.5786930467
39333,355782.077596319,3284.7739420318
39334,103863.313361213,2533.25154539543
39377,0,0
39378,1406.61957618459,274.4623563287
39379,15346.7094754351,274.048383489913
39380,14454.4517300749,307.133104490302
39419,0,0
39420,0,0
39421,0,0
39422,0,0
39423,0,0
39424,-13975.335430055,-477.789245471966
39449,-29770.8760991269,-3033.97463430593
39450,0,0
39451,0,0
39452,0,0
39456,0,0
39457,0,0
39458,0,0
39459,0,0
39460,0,0
39461,0,0
39462,0,0
39463,0,0
39464,-28.8702034019116,-27.1719561429756
39465,34655.8534428721,2031.11228969214
39468,0,0
39469,728.980090172953,647.982302375958
39470,0,0
39471,48465.3131981283,1260.88619702448
39472,15219.1999366872,1255.19174735565
39978,1032800.80484824,17468.0897225918
39979,369152.70686951,15750.5154930991
39980,52984.1976028207,6187.93548646081
39981,90711.7676735335,3497.32116331695
39982,103917.806279618,10457.1377388295
39983,254179.717880091,3133.18604474689
39984,249260.356375576,2960.77631923476
39985,87178.2790312347,3019.1611785709
40029,-476.118792564148,-149.370601588752
40030,-829.22153174668,-276.407177248893
40069,0,0
40070,0,0
40071,0,0
40072,0,0
40073,1399.28389804787,180.552761038434
40076,235557.06242427,3613.53115895332
40080,682071.725154199,6626.07626136441
40081,7863.4968561681,1367.56467063793
40099,0,0
40102,0,0
40103,0,0
40104,0,0
40105,0,0
40106,0,0
40107,0,0
40108,5629.51849445323,104.857154727883
40109,-1975.71211039959,-564.489174399884
40110,0,0
40111,0,0
40112,0,0
40113,0,0
40114,503.119526498321,894.434713774792
40115,17108.4443693317,2281.1259159109
40116,8724.8195739345,1082.14816420893
40117,7036.34249475648,538.667368019635
40118,0,0
40119,0,0
40120,0,0
40121,0,0
40122,13490.5570249255,739.208604105509
40629,1413960.83611729,14051.7847067557
40630,871004.040132404,14794.123823905
40631,404150.263564617,13116.4385741052
40632,443454.409786926,10388.390273193
40633,43688.1579972781,2796.0421118258
40634,68144.3628551999,2685.49213222463
40635,14727.8307026464,2873.72306393101
40679,-688.449285134855,-121.046028155579
40680,0,0
40681,-11337.9638926729,-305.91470873991
40719,0,0
40720,0,0
40721,147201.963626855,4636.28231895606
40722,49509.8958156613,10562.1111073411
40723,257362.389653434,6164.3686144535
40724,278060.237787722,3300.41825267326
40725,1810.50726858852,47.6449281207505
40726,-4379.54801089109,-2416.30235083646
40727,-19574.0251349607,-2525.68066257557
40729,359986.858973619,3860.44888979753
40730,41425.5364152273,2239.21818460688
40731,8391.29444718041,2856.61087563588
40732,38415.2250075209,2354.95632230013
40751,0,0
40752,0,0
40753,0,0
40754,0,0
40755,0,0
40756,0,0
40757,-5556.28914155937,-1616.37502299909
40758,78411.5949220884,1450.38788295192
40759,5471.96989315862,781.709984736946
40760,2431.19790200934,505.183979638304
40761,0,0
40762,0,0
40763,0,0
40764,0,0
40765,0,0
40766,0,0
40767,0,0
40768,0,0
40769,0,0
40770,0,0
40771,0,0
40772,36883.4407419394,1234.592158726
40773,587212.643556598,2608.38486865785
41281,184314.822068877,2797.94796309491
41282,0,0
41283,205837.196716732,2814.86764740829
41284,107324.351814491,2517.8733563517
41285,7368.64752753776,2508.47575405541
41286,24084.4150442416,2518.6316386135
41331,-3772.06091141983,-467.852516145095
41372,514191.217197951,12794.8047825307
41373,5500.94078963367,3826.7414188756
41374,-3158.7232451814,-1075.31004091282
41375,0,0
41376,-33191.7331335684,-1818.72510320923
41377,-54232.1881523129,-1807.7396050771
41378,-134362.68957494,-1536.67121744034
41379,-304.674914756045,-1624.93287869891
41380,410709.76727759,6107.20843535449
41402,0,0
41403,0,0
41404,0,0
41405,0,0
41406,0,0
41407,0,0
41408,5291.17167974116,2565.41657199571
41409,53684.2409396102,1263.15861034377
41410,115901.629591732,1252.14454656834
41411,0,0
41412,0,0
