new2kid,farm_ha,wood_ha,sng_ha,urban_ha,water_ha,offset_area_ha
"36202",0,0,342.75,0,57.25,0
"36203",0,0,398.375,0,1.625,0
"36204",0,0,391.6875,0,8.3125,0
"36205",0,0,395.0625,0,4.9375,0
"36206",0,0,370.5,0,29.5,0
"36207",0,0,400,0,0,0
"36208",0,0,387,0,13,0
"36209",0,0,366.5,0,33.5,0
"36210",0,0,392.4375,0,7.5625,0
"36211",0,0,392.625,0,7.375,0
"36212",0,0,396.9375,0,3.0625,0
"36213",0,0,358.5625,0,41.4375,0
"36214",0,0,374.625,0,25.375,0
"36215",0,0,390.5625,0,9.4375,0
"36776",0,0,210.6875,0,189.3125,0
"36846",0,0,344.9375,0,55.0625,0
"36847",0,0,383.4375,0,16.5625,0
"36848",0,0,384.8125,0,15.1875,0
"36849",0,0,387.375,0,12.625,0
"36851",1.5,0,277.9375,0,120.5625,0
"36852",0,0,396.1875,0,3.8125,0
"36853",0,0,393.875,0,6.125,0
"36854",0,0,399.875,0,0.125,0
"36855",0,0.625,391.9375,0,7.4375,0
"36856",0,1.0625,389.5625,0,9.375,0
"36857",0,0,400,0,0,0
"36858",0,0,400,0,0,0
"36859",0,0,390.0625,0,9.9375,0
"36860",0,0,381.0625,0,18.9375,0
"36861",0,0,371.125,0,28.875,0
"36862",0,0,325,0,75,0
"36863",0,0,299.125,0,100.875,0
"36864",0,0,318.5625,0,81.4375,0
"37426",122.625,0,97.5625,0,179.8125,0
"37427",104.6875,0,167.75,0,127.5625,0
"37473",0.8125,7.875,249.8125,0,141.5,0
"37474",38.375,0,345.5625,0.875,15.1875,0
"37496",0,0,339.875,0,60.125,0
"37497",0,0,386.25,0,13.75,0
"37498",1.4375,0,262.5,0,136.0625,0
"37499",0.1875,0,344.4375,5.1875,50.1875,0
"37500",3.25,0,354.8125,15.4375,26.5,0
"37501",0,0,395.6875,0,4.3125,0
"37502",0,0,386.125,0,13.875,0
"37503",0,0,399.125,0,0.875,0
"37504",0,0.75,394.75,0,4.5,0
"37505",0,2.0625,393.75,0,4.1875,0
"37506",0,0,342.8125,0,57.1875,0
"37507",0,0,271,0,129,0
"37508",0,0,332.4375,0,67.5625,0
"37509",0,0,392.5,0,7.5,0
"37510",0,0,388.375,0,11.625,0
