new2kid,percent_frm,percent_grs,percent_wod,percent_urban,percent_water
"30920",0.16671875,0.44734375,0,0,0.3859375
"30921",0.6509375,0.295,0,0,0.0540625
"30922",0.67734375,0.32265625,0,0,0
"30923",0.42515625,0.35296875,0,0,0.221875
"30985",0,0.8109375,0.00046875,0,0.18859375
"30986",0.005625,0.72859375,0,0,0.26578125
"31569",0.50234375,0.0925,0,0,0.40515625
"31570",0.86296875,0.12875,0,0,0.00828125
"31571",0.41578125,0.5740625,0,0,0.01015625
"31572",0.3484375,0.6378125,0,0,0.01375
"31573",0.44484375,0.43703125,0,0,0.118125
"31636",0.00109375,0.63390625,0,0,0.365
"31646",0,0.97765625,0,0,0.02234375
"32221",0.35,0.32890625,0,0,0.32109375
"32222",0.404375,0.5765625,0,0,0.0190625
"32223",0.670625,0.13703125,0,0,0.19234375
"32294",0.01109375,0.514375,0,0,0.47453125
"32295",0.02671875,0.59984375,0,0,0.3734375
"32312",0.07359375,0.5015625,0,0,0.42484375
"32313",0.0334375,0.88421875,0,0,0.08234375
"32872",0.49765625,0.4178125,0,0,0.08453125
"32873",0.5409375,0.18359375,0,0,0.27546875
"32943",0.00625,0.4609375,0,0,0.5328125
"32944",0,0.98125,0,0,0.01875
"32945",0,1,0,0,0
"32946",0.1259375,0.6171875,0,0,0.256875
"32954",0,0.74515625,0,0,0.25484375
"32955",0,0.99078125,0,0,0.00921875
"32956",0,0.8090625,0.01015625,0,0.18078125
"32960",0,0.95984375,0,0,0.04015625
"32961",0,0.99015625,0,0,0.00984375
"32962",0,0.96953125,0,0,0.03046875
"32963",0,0.95734375,0,0,0.04265625
"32964",0,0.9278125,0,0,0.0721875
"32965",0.0571875,0.68875,0,0,0.2540625
"32966",0.00015625,0.604375,0,0,0.39546875
"33522",0.258125,0.72578125,0,0,0.01609375
"33523",0.25265625,0.68921875,0,0,0.058125
"33592",0.0090625,0.8365625,0.0059375,0,0.1484375
"33593",0.04171875,0.93296875,0,0,0.0253125
"33594",0,0.93671875,0,0,0.06328125
"33595",0,1,0,0,0
"33596",0.005,0.99,0,0,0.005
"33604",0,0.95390625,0,0,0.04609375
"33605",0,0.97953125,0.02046875,0,0
"33606",0,0.85875,0.01640625,0,0.12484375
"33607",0,0.76421875,0.01328125,0,0.2225
"33608",0,0.7825,0,0,0.2175
"33610",0.00046875,0.72078125,0,0,0.27875
"33611",0,1,0,0,0
"33612",0,0.97875,0,0,0.02125
"33613",0,0.90671875,0,0,0.09328125
"33614",0,0.94171875,0,0,0.05828125
"33615",0,0.91359375,0,0,0.08640625
"33617",0,0.51375,0,0,0.48625
"34241",0.03984375,0.48296875,0,0,0.4771875
"34242",0.0175,0.97328125,0,0,0.00921875
