new2kid,farm_ha,wood_ha,sng_ha,urban_ha,water_ha
"32222",161.75,0,230.625,0,7.625
"32223",268.25,0,54.8125,0,76.9375
"32294",4.4375,0,205.75,0,189.8125
"32295",10.6875,0,239.9375,0,149.375
"32312",29.4375,0,200.625,0,169.9375
"32313",13.375,0,353.6875,0,32.9375
"32872",199.0625,0,167.125,0,33.8125
"32873",216.375,0,73.4375,0,110.1875
"32943",2.5,0,184.375,0,213.125
"32944",0,0,392.5,0,7.5
"32945",0,0,400,0,0
"32946",50.375,0,246.875,0,102.75
"32954",0,0,298.0625,0,101.9375
"32955",0,0,396.3125,0,3.6875
"32956",0,4.0625,323.625,0,72.3125
"32960",0,0,383.9375,0,16.0625
"32961",0,0,396.0625,0,3.9375
"32962",0,0,387.8125,0,12.1875
"32963",0,0,382.9375,0,17.0625
"32964",0,0,371.125,0,28.875
"32965",22.875,0,275.5,0,101.625
"32966",0.0625,0,241.75,0,158.1875
"33522",103.25,0,290.3125,0,6.4375
"33523",101.0625,0,275.6875,0,23.25
"33592",3.625,2.375,334.625,0,59.375
"33593",16.6875,0,373.1875,0,10.125
"33594",0,0,374.6875,0,25.3125
"33595",0,0,400,0,0
"33596",2,0,396,0,2
"33604",0,0,381.5625,0,18.4375
"33605",0,8.1875,391.8125,0,0
"33606",0,6.5625,343.5,0,49.9375
"33607",0,5.3125,305.6875,0,89
"33608",0,0,313,0,87
"33610",0.1875,0,288.3125,0,111.5
"33611",0,0,400,0,0
"33612",0,0,391.5,0,8.5
"33613",0,0,362.6875,0,37.3125
"33614",0,0,376.6875,0,23.3125
"33615",0,0,365.4375,0,34.5625
"33617",0,0,205.5,0,194.5
"34241",15.9375,0,193.1875,0,190.875
"34242",7,0,389.3125,0,3.6875
"34243",0,0,398.75,0,1.25
"34244",0,0,304.4375,0,95.5625
"34245",0,0,332.125,0,67.875
"34246",0,0,399,0,1
"34247",1.9375,0,398.0625,0,0
"34248",7,0,255.4375,0,137.5625
"34254",0,0,370.1875,0,29.8125
"34255",0,0,400,0,0
"34256",0,0,398.1875,0,1.8125
"34257",0,1.75,374.625,0,23.625
"34258",0,0,284.8125,0,115.1875
"34259",0,0,370.375,0,29.625
"34260",1.4375,0,390.375,0,8.1875
"34261",0,0,384.0625,0,15.9375
"34262",0,0,395.75,0,4.25
"34263",0,0,390.4375,0,9.5625
"34264",0,0,381.5625,0,18.4375
"34265",0,0,364.75,0,35.25
"34266",25.4375,0,266.8125,0,107.75
"34267",36.6875,0,343.1875,0,20.125
"34268",4.375,0,373.8125,0,21.8125
"34892",2.6875,0,223.75,0,173.5625
"34893",0,0,364.8125,0,35.1875
"34894",0,0,367.875,0,32.125
"34895",0,0,394.4375,0,5.5625
"34896",0,0,400,0,0
"34897",0,0,395.0625,0,4.9375
"34898",15.8125,0,260.1875,0,124
"34903",0,0,311.375,0,88.625
"34904",0,0,384.625,0,15.375
"34905",0,0,364.25,0,35.75
"34906",0,0,387.5,0,12.5
"34907",0,3.625,382.625,0,13.75
"34909",0,0,365.8125,0,34.1875
"34910",0,0,330.5625,0,69.4375
"34911",0,0,397.9375,0,2.0625
"34912",0,0,357.5,0,42.5
"34913",0,0,346.625,0,53.375
"34914",0,0,255.375,0,144.625
"34915",0,0,310.6875,0,89.3125
"34916",0,0,388.125,0,11.875
"34917",2.8125,0,383.0625,0,14.125
"34918",0,0,295.375,0,104.625
"35544",0,0,353.4375,0,46.5625
"35545",0,0,387.625,0,12.375
"35546",0,0,398.6875,0,1.3125
"35547",0,0,399.125,0,0.875
"35548",1.875,0,301.25,0,96.875
"35549",0,0,399.5625,0,0.4375
"35550",0,0,341.9375,0,58.0625
"35553",0,0,398.1875,0,1.8125
"35554",0,0,397.9375,0,2.0625
"35555",0,0,400,0,0
"35556",0,0,398.6875,0,1.3125
"35557",0,2.125,389.5625,0,8.3125
"35558",0,0,353.3125,0,46.6875
"35559",0,0,314.625,0,85.375
"35560",0,0,354,0,46
"35561",0,0,395.25,0,4.75
"35562",0,0,384.3125,0,15.6875
"35563",0,0,312.625,0,87.375
"35564",0,0,357.25,0,42.75
"35565",0,0,373.4375,0,26.5625
"35566",0,0,372.0625,0,27.9375
"35567",16.5,0,326.375,0,57.125
"36195",0,0,334.4375,0,65.5625
"36196",0,0,383.25,0,16.75
"36197",0,0,394.5625,0,5.4375
"36198",0,0,398,0,2
"36199",0,0,400,0,0
"36202",0,0,342.75,0,57.25
"36203",0,0,398.375,0,1.625
"36204",0,0,391.6875,0,8.3125
"36205",0,0,395.0625,0,4.9375
"36206",0,0,370.5,0,29.5
"36207",0,0,400,0,0
"36208",0,0,387,0,13
"36209",0,0,366.5,0,33.5
"36210",0,0,392.4375,0,7.5625
"36211",0,0,392.625,0,7.375
"36212",0,0,396.9375,0,3.0625
"36213",0,0,358.5625,0,41.4375
"36214",0,0,374.625,0,25.375
"36215",0,0,390.5625,0,9.4375
"36776",0,0,210.6875,0,189.3125
"36846",0,0,344.9375,0,55.0625
"36847",0,0,383.4375,0,16.5625
"36848",0,0,384.8125,0,15.1875
"36849",0,0,387.375,0,12.625
"36851",1.5,0,277.9375,0,120.5625
"36852",0,0,396.1875,0,3.8125
"36853",0,0,393.875,0,6.125
"36854",0,0,399.875,0,0.125
"36855",0,0.625,391.9375,0,7.4375
"36856",0,1.0625,389.5625,0,9.375
"36857",0,0,400,0,0
"36858",0,0,400,0,0
"36859",0,0,390.0625,0,9.9375
"36860",0,0,381.0625,0,18.9375
"36861",0,0,371.125,0,28.875
"36862",0,0,325,0,75
"36863",0,0,299.125,0,100.875
"36864",0,0,318.5625,0,81.4375
"37426",122.625,0,97.5625,0,179.8125
"37427",104.6875,0,167.75,0,127.5625
"37473",0.8125,7.875,249.8125,0,141.5
"37474",38.375,0,345.5625,0.875,15.1875
"37496",0,0,339.875,0,60.125
"37497",0,0,386.25,0,13.75
"37498",1.4375,0,262.5,0,136.0625
"37499",0.1875,0,344.4375,5.1875,50.1875
"37500",3.25,0,354.8125,15.4375,26.5
"37501",0,0,395.6875,0,4.3125
"37502",0,0,386.125,0,13.875
"37503",0,0,399.125,0,0.875
"37504",0,0.75,394.75,0,4.5
"37505",0,2.0625,393.75,0,4.1875
"37506",0,0,342.8125,0,57.1875
"37507",0,0,271,0,129
"37508",0,0,332.4375,0,67.5625
"37509",0,0,392.5,0,7.5
"37510",0,0,388.375,0,11.625
"37511",0,0,399,0,1
"37512",0,0,395,0,5
"37513",0,0,390,0,10
"37514",0,0,365.25,0,34.75
"37515",0,0,376.0625,0,23.9375
"38026",2.125,54.6875,283.625,0.25,59.3125
"38077",220.6875,0,177.4375,0,1.875
"38078",53.4375,0,257.4375,0,89.125
"38120",0,0.1875,196.3125,2.5625,200.9375
"38121",2.5625,1.0625,395.625,0,0.75
"38122",13.6875,6.0625,375.0625,2.8125,2.375
"38123",0,2.6875,396.875,0,0.4375
"38124",41,5.0625,349.0625,0,4.875
"38125",52.8125,2.25,281.1875,0,63.75
"38126",0,0,400,0,0
"38127",12.75,17.5625,359.0625,6.4375,4.1875
"38146",5.9375,0,322.875,0,71.1875
"38147",2.3125,0,260.4375,0,137.25
"38150",0.125,0,396,3.25,0.625
"38151",0,0,399.3125,0,0.6875
"38152",0,0,394.875,0,5.125
"38153",0,0,400,0,0
"38154",0,6.8125,389.75,0,3.4375
"38155",0,0,400,0,0
"38156",0,0,399.9375,0,0.0625
"38157",2.0625,0,369.75,0,28.1875
"38158",0,0,246.1875,0,153.8125
"38159",0,0,293.8125,0,106.1875
"38160",0,0,302.875,0,97.125
"38161",0,0,382.25,0,17.75
"38162",0,0,373.1875,0,26.8125
"38163",0,0,383.25,0,16.75
"38164",0,0,371.25,0,28.75
"38165",0,0,380.125,0,19.875
"38166",0,0,352.75,0,47.25
"38676",9,175.3125,169.125,2.8125,43.75
"38677",3.4375,110.625,285.625,0,0.3125
"38678",17.75,2.5,374.9375,0,4.8125
"38679",10.8125,0,264,0,125.1875
"38727",97.25,0,296.875,0,5.875
"38728",0,0,389.0625,0,10.9375
"38729",6.1875,0,353.75,0,40.0625
