new2kid,tot_benefits,tot_benefits_ha
26432,129558.456073782,4486.87293762015
26433,0,NaN
26434,0,NaN
26435,0,NaN
26436,3685.96434343933,2680.70134068315
26437,414364.694110937,2652.99524040616
27057,0,NaN
27060,0,NaN
27064,0,NaN
27065,0,NaN
27066,0,NaN
27067,0,NaN
27068,0,NaN
27069,6584.44934597531,3632.79963915879
27070,0,NaN
27074,35749.8903963004,3972.21004403338
27075,0,NaN
27076,253.032587316481,4048.5213970637
27077,15448.4195892825,4663.67383827395
27080,7288.850280166,4859.23352011067
27081,18110.4946941186,4750.29369026062
27082,35959.861871888,4602.86231960166
27083,0,NaN
27084,0,NaN
27085,0,NaN
27086,34964.4689227085,4336.67831599485
27087,302500.996735871,4561.74924389627
27716,0,NaN
27717,11144.4584517608,9384.80711727223
27718,0,NaN
27724,0,NaN
27726,0,NaN
27728,248679.071220714,4490.81844190906
27730,0,NaN
27731,84100.329824204,4805.73313281166
27733,0,NaN
27734,0,NaN
27735,0,NaN
27736,135377.783125954,4750.09765354223
28367,0,NaN
28374,11481.8913425789,3602.16198982867
28379,0,NaN
28380,0,NaN
28381,176865.227825653,6835.37112369674
28382,0,NaN
28383,0,NaN
28384,0,NaN
28385,0,NaN
28386,3519.72331437662,4331.96715615584
28387,353569.457750493,3505.02560347453
29029,0,NaN
29030,0,NaN
29031,74562.5787578411,8461.00184486141
29032,0,NaN
29033,4058.97016958424,4329.56818088985
29034,0,NaN
29035,64481.5440926177,6832.4814932575
29036,0,NaN
29037,68295.7655613346,3547.83197721219
29038,168977.281518806,2964.51371085625
29679,0,NaN
29680,0,NaN
29681,0,NaN
29682,0,NaN
29683,3609.11805959111,3849.72593023052
29684,259373.717634888,4141.69608997825
29688,0,NaN
30332,0,NaN
30333,0,NaN
30336,0,NaN
30920,619992.928210235,9296.98861421158
30921,4047744.12450396,15545.8247700584
30922,5071064.88470541,18716.7331384744
30923,3168378.16792925,18630.6691241705
30985,0,NaN
30986,7621.58401855601,3387.37067491378
31569,545324.045532124,2713.89882690948
31570,1876812.1249512,5437.08020988941
31571,2816119.41911444,16932.698498997
31572,2626008.12708581,18841.3139163107
31573,3257128.48084709,18304.9018944691
31636,346.48116346039,791.95694505232
31646,0,NaN
32221,2363055.39807802,16878.9671291287
32222,2317466.70329266,14327.4602985636
32223,3925767.76510806,14634.7353778493
32294,-11149.7394742888,-2512.6173463186
32295,-22872.0715294114,-2140.07686824902
32312,-91082.1625885229,-3094.08620258252
32313,-36771.4065994345,-2749.26404481753
32872,1180634.69651152,5930.9749275304
32873,1227726.44488028,5674.067913947
32943,-2996.32000069719,-1198.52800027887
32944,0,NaN
32945,0,NaN
32946,253686.718853947,5035.96464226198
32954,0,NaN
32955,0,NaN
32956,0,NaN
32960,0,NaN
32961,0,NaN
32962,0,NaN
32963,0,NaN
32964,0,NaN
32965,155917.124710117,6816.04916765539
32966,-28.4033573993834,-454.453718390134
33522,483262.35869723,4680.50710602644
33523,475306.497182816,4703.09459179038
33592,-10769.8203830054,-2970.98493324287
33593,-48203.9556057833,-2888.62655315555
33594,0,NaN
33595,0,NaN
33596,-788.140184135823,-394.070092067911
33604,0,NaN
33605,0,NaN
33606,0,NaN
33607,0,NaN
33608,0,NaN
33610,-771.358241134255,-4113.9106193827
33611,0,NaN
33612,0,NaN
33613,0,NaN
33614,0,NaN
33615,0,NaN
33617,0,NaN
34241,-7825.95555606346,-491.040348615747
34242,-18682.8958880479,-2668.98512686399
34243,0,NaN
34244,0,NaN
34245,0,NaN
34246,0,NaN
34247,9628.06598887877,4969.32438135679
34248,-16442.7551126061,-2348.96501608659
34254,0,NaN
34255,0,NaN
34256,0,NaN
34257,0,NaN
34258,0,NaN
34259,0,NaN
34260,-5290.98767857546,-3680.68708074815
34261,0,NaN
34262,0,NaN
34263,0,NaN
34264,0,NaN
34265,0,NaN
34266,79623.1060738481,3130.14667612179
34267,-6071.52185299404,-165.4929295535
34268,1176.14578898839,268.833323197346
34892,-184.636593949458,-68.7019884463098
34893,0,NaN
34894,0,NaN
34895,0,NaN
34896,0,NaN
34897,0,NaN
34898,-49041.7393531991,-3101.45387213908
34903,0,NaN
34904,0,NaN
34905,0,NaN
34906,0,NaN
34907,0,NaN
34909,0,NaN
34910,0,NaN
34911,0,NaN
34912,0,NaN
34913,0,NaN
34914,0,NaN
34915,0,NaN
34916,0,NaN
34917,-2750.10233202824,-977.814162498931
34918,0,NaN
35544,0,NaN
35545,0,NaN
35546,0,NaN
35547,0,NaN
35548,-5026.44843018081,-2680.77249609643
35549,0,NaN
35550,0,NaN
35553,0,NaN
35554,0,NaN
35555,0,NaN
35556,0,NaN
35557,0,NaN
35558,0,NaN
35559,0,NaN
35560,0,NaN
35561,0,NaN
35562,0,NaN
35563,0,NaN
35564,0,NaN
35565,0,NaN
35566,0,NaN
35567,-21540.6315958627,-1305.49282399168
36195,0,NaN
36196,0,NaN
36197,0,NaN
36198,0,NaN
36199,0,NaN
36202,0,NaN
36203,0,NaN
36204,0,NaN
36205,0,NaN
36206,0,NaN
36207,0,NaN
36208,0,NaN
36209,0,NaN
36210,0,NaN
36211,0,NaN
36212,0,NaN
36213,0,NaN
36214,0,NaN
36215,0,NaN
36776,0,NaN
36846,0,NaN
36847,0,NaN
36848,0,NaN
36849,0,NaN
36851,3521.37155579928,2347.58103719952
36852,0,NaN
36853,0,NaN
36854,0,NaN
36855,0,NaN
36856,0,NaN
36857,0,NaN
36858,0,NaN
36859,0,NaN
36860,0,NaN
36861,0,NaN
36862,0,NaN
36863,0,NaN
36864,0,NaN
37426,374994.803462032,3058.06159805938
37427,272663.383473589,2604.54575258354
37473,1995.51703296216,2456.02096364573
37474,63410.8141820478,1652.39906663317
37496,0,NaN
37497,0,NaN
37498,-4393.49287436844,-3056.34286912587
37499,-621.52358882384,-3314.79247372715
37500,-13463.3730912152,-4142.57633575851
37501,0,NaN
37502,0,NaN
37503,0,NaN
37504,0,NaN
37505,0,NaN
37506,0,NaN
37507,0,NaN
37508,0,NaN
37509,0,NaN
37510,0,NaN
37511,0,NaN
37512,0,NaN
37513,0,NaN
37514,0,NaN
37515,0,NaN
38026,3867.04620238492,1819.78644818114
38077,309982.311752018,1404.62106712894
38078,39852.2272587032,745.772673847078
38120,0,NaN
38121,-4904.30024046152,-1913.87326457035
38122,-29076.8872934945,-2124.33879769823
38123,0,NaN
38124,213950.173397525,5218.29691213477
38125,85055.057103839,1610.50995699577
38126,0,NaN
38127,-13351.7966120906,-1047.19973428162
38146,-5566.37561934664,-937.494841153119
38147,-3294.06088732487,-1424.45876208643
38150,289.948105107638,2319.58484086111
38151,0,NaN
38152,0,NaN
38153,0,NaN
38154,0,NaN
38155,0,NaN
38156,0,NaN
38157,-644.660144892934,-312.562494493544
38158,0,NaN
38159,0,NaN
38160,0,NaN
38161,0,NaN
38162,0,NaN
38163,0,NaN
38164,0,NaN
38165,0,NaN
38166,0,NaN
38676,39434.0153358892,4381.55725954325
38677,8802.87837033029,2560.83734409608
38678,39157.8811019376,2206.07780855987
38679,6097.19184941498,563.902136362079
38727,47615.3403719968,489.617895856008
38728,0,NaN
38729,-515.082621927357,-83.245676271088
38770,0,NaN
38771,0,NaN
38772,0,NaN
38773,-14359.7360800411,-1463.41259414431
38774,-88429.9876267913,-1085.03052302811
38775,-13024.1693317201,-1114.36742945199
38776,-38920.2153363834,-552.549640977937
38799,0,NaN
38800,0,NaN
38801,0,NaN
38802,0,NaN
38803,0,NaN
38804,0,NaN
38805,0,NaN
38806,0,NaN
38807,0,NaN
38808,0,NaN
38809,0,NaN
38810,0,NaN
38811,0,NaN
38812,0,NaN
38813,0,NaN
38814,0,NaN
38815,0,NaN
38819,13806.5133656537,777.831738910065
38820,0,NaN
38821,41134.1811450123,991.185087831621
39327,250137.083116482,16537.988966379
39328,534413.761826373,10920.3322978569
39329,25547.3381887393,3120.28558030404
39330,27785.8748644435,859.911020949894
39331,884568.771977475,7155.25801397351
39332,1160008.85330855,11905.158212275
39333,280562.403098834,2590.3049333995
39334,75390.0840072887,1838.78253676314
39377,0,NaN
39378,-1537.2853877703,-299.958124442985
39379,-16820.8374477792,-300.372097281772
39380,-12589.2595567487,-267.50086707567
39419,0,NaN
39420,0,NaN
39421,0,NaN
39422,0,NaN
39423,0,NaN
39424,-30986.4642735733,-1059.36629995122
39449,-35407.3770666991,-3608.39511507761
39450,0,NaN
39451,0,NaN
39452,0,NaN
39456,0,NaN
39457,0,NaN
39458,0,NaN
39459,0,NaN
39460,0,NaN
39461,0,NaN
39462,0,NaN
39463,0,NaN
39464,-709.079064025313,-667.368530847353
39465,22806.4759830836,1336.64328105985
39468,0,NaN
39469,82.7366713181722,73.5437078383753
39470,0,NaN
39471,26384.8591705392,686.435360534354
39472,8254.35160733052,680.771266583961
39978,998838.193922616,16893.6692418201
39979,355365.990782493,15162.2822733864
39980,48065.7222362131,5613.51500568912
39981,72698.9777621334,2802.85215468466
39982,98209.5027519498,9882.71725805784
39983,207579.856377488,2558.7655639752
39984,195418.307298191,2321.22710970383
39985,67125.4864069773,2324.69216993861
40029,-2308.4832610641,-724.230042686777
40030,-2552.48297406173,-850.827658020578
40069,0,NaN
40070,0,NaN
40071,0,NaN
40072,0,NaN
40073,-3982.85091885239,-513.916247593857
