new2kid,grass_ha,sng_ha,wood_ha,urban_ha,arable_ha,freshwater_ha,marine_ha,coast_ha,ocean_ha
"27736",22.5,266.75,0,0,0,93.1875,14.1875,3.375,0
"28367",0,189.625,0,0,0,1.9375,6.1875,0.5625,201.6875
"28374",7.5,251.5,1.4375,0,0,30.9375,10.1875,16.1875,82.25
"28379",2.8125,254.6875,0.6875,0,0.375,14.5,17.3125,109.625,0
"28380",0,323.625,2.5,0,0,73.875,0,0,0
"28381",26.9375,230.0625,3.25,0,0,58,63.8125,17.9375,0
"28382",0,287.375,2.75,0,0,71.6875,30.1875,8,0
"28383",0,289.75,0.5,0,0,109.75,0,0,0
"28384",0,294.9375,0,0,0,105.0625,0,0,0
"28385",0,232.875,0,0,0,167.125,0,0,0
"28386",3.6875,374.5,3.5,0,0,18.3125,0,0,0
"28387",85.1875,187.5625,5.0625,0,0,16.125,0.75,105.3125,0
"29029",0,259.4375,0,0,0,15.625,93.8125,31.125,0
"29030",0,247.25,1.5,0,0,149.9375,0,1.3125,0
"29031",11.25,165.5625,2.125,0,0,75.25,137.5625,8.25,0
"29032",0,304.25,1.5625,0,0,59.1875,23.6875,11.3125,0
"29033",0,311.8125,1.8125,0,0,86.375,0,0,0
"29034",0,271.4375,1.3125,0,0.625,125.6875,0,0.9375,0
"29035",1.125,329.625,4.375,0,0,38.875,0,8.875,17.125
"29036",0,240.875,19.75,0,0,49.8125,16.75,13.875,58.9375
"29037",20.5,326.0625,2.5,0,0,36.75,4.5,9.6875,0
"29038",47.125,274.5,0.75,0.375,0,5.125,0,72.125,0
"29679",0,272,1.5,0,0,34.1875,8.4375,4.875,79
"29680",0,285.3125,2.8125,0,0,110.625,0,1.25,0
"29681",0,187.8125,5.1875,0,0,57.5,138.5,11,0
"29682",0,271.125,27.625,0,0,66.8125,32.25,2.1875,0
"29683",0,305.4375,2.1875,0,0,52.375,6.5,16.5625,16.9375
"29684",25.5,196.25,1.625,0,8.0625,67.4375,38.1875,46.5,16.4375
"29688",0.375,371.6875,0,0,0,12.375,0,11.375,4.1875
"30332",0,373.0625,7.75,0,0,0.5,1.8125,2.625,14.25
"30333",0,240.8125,1.375,0,0,7,5,11.1875,134.625
"30336",0,293.5625,0,0,0,47.625,4.25,49.5625,5
"30920",25.3125,17.3125,0,0,4.3125,49.8125,0,232.125,71.125
"30921",246.3125,52.5625,6.4375,0,8.9375,28.6875,0,57.0625,0
"30922",250.125,76.75,6.3125,0,2.6875,0,0,64.125,0
"30923",160.5625,23.75,0.6875,0,3.25,0,0,152.0625,59.6875
"30985",0.125,300.625,2.625,0,0,27.25,2.875,13.1875,53.3125
"30986",3.875,247,3.3125,0,1.25,43.3125,20.9375,80.3125,0
"31569",34.625,194.6875,0,0.75,11.8125,0.625,0,38,119.5
"31570",198.9375,178.25,5.1875,0,11.3125,2.5625,0,3.75,0
"31571",147.3125,228.375,7.8125,0,8,5.5,0,3,0
"31572",105.75,277.875,7.5625,0,2.1875,6.625,0,0,0
"31573",177.875,58.4375,2,0,13.3125,46.9375,0,101.4375,0
"31636",1.1875,214.5,3.9375,0,1.4375,28.0625,6.0625,26.875,117.9375
"31646",0,386.75,0,0,0,0,0.5625,4.5,8.1875
"32221",105.25,44.1875,1.125,0,8.375,16,0,148.3125,76.75
"32222",203.125,164.4375,0,2.5,9.6875,2.375,0,17.875,0
"32223",201.25,91.8125,2.0625,0,11.1875,0.6875,0,53.0625,39.9375
"32294",9.125,200.6875,3.75,0,2,2.75,1.5,2.9375,177.25
"32295",10.4375,172.0625,0,0,0,0,0,188.125,29.375
"32312",16.4375,218.625,0,0.5625,0,0,0,28.75,135.625
"32313",9.25,349.3125,0,0.8125,1.5,12.3125,1.0625,17.9375,7.8125
"32872",171.1875,137.6875,2.4375,18.1875,12.8125,1.875,0,55.8125,0
"32873",120.8125,74.875,4.875,0.125,11.4375,0,0,97.0625,90.8125
"32943",10.3125,179.8125,2.5625,0,0,55.875,1.3125,15.8125,134.3125
"32944",0,395.125,0,0,0,4.875,0,0,0
"32945",1.25,398.75,0,0,0,0,0,0,0
"32946",17.75,238.0625,0,0,0.625,1.375,0,75.375,66.8125
"32954",0,304,0,0,1.75,7.6875,0,6.5,80.0625
"32955",6.0625,392.5625,0,0,0,1.375,0,0,0
"32956",0,323.375,2.625,0,0.9375,32.3125,0,12.8125,27.9375
"32960",0,392.9375,0,0,0,0,0,0,7.0625
"32961",0,393.75,0,0,0,6.25,0,0,0
"32962",0,389.8125,0,0,0,10.1875,0,0,0
"32963",0,382.3125,0,0,0,17.6875,0,0,0
"32964",0,365.375,0,0,0,26.1875,0.875,3.5625,4
"32965",9.125,265.6875,0.625,0.5625,0,8.4375,0,8.0625,107.5
"32966",0,210.1875,0,3.375,0.9375,2.0625,3.1875,22.5,157.75
"33522",91.3125,285.5625,1.625,0,5.9375,7.625,0,7.9375,0
"33523",90.5625,262.75,7.6875,0,0,19.6875,0,19.3125,0
"33592",10.25,325.125,1.9375,0,2.25,2,6,8.3125,44.125
"33593",14.5,365.5,2.375,0,0,12.0625,0.125,5.4375,0
"33594",0,377.5625,0,0,0,22.4375,0,0,0
"33595",0,400,0,0,0,0,0,0,0
"33596",1.8125,393.875,0,0,0.25,3.25,0,0.8125,0
"33604",0,379.8125,0,0,0,20.0625,0,0.125,0
"33605",5.6875,394.3125,0,0,0,0,0,0,0
"33606",0,349.5,0,0,0,49.1875,0,1.3125,0
"33607",0,290.375,2.6875,0,0,3.5,0,0,103.4375
"33608",0.5625,318.5,0,0,0,8.3125,1.4375,3.6875,67.5
"33610",0,305.375,0.9375,0,0,0,0,0.875,92.8125
"33611",0,399.6875,0,0,0,0.3125,0,0,0
"33612",0,395.3125,0,0,0,4.6875,0,0,0
"33613",0,366.0625,0,2.125,0,31.8125,0,0,0
"33614",0,365.375,0,0,0,34.625,0,0,0
"33615",4.6875,355.125,0,0,0,27.125,0,13.0625,0
"33617",0.0625,186.5,0,1.75,0,17.8125,1.5625,26.0625,166.25
"34241",21.625,190.875,0,0,0.875,7.875,3.1875,23.25,152.3125
"34242",3.125,391.6875,0,0,0,5.1875,0,0,0
"34243",0,393.75,1.625,0,0,4.625,0,0,0
"34244",0,301.125,0,0,0,98.875,0,0,0
"34245",0,340.875,0,0,0,59.125,0,0,0
"34246",0,398.8125,0,0,0,1.1875,0,0,0
"34247",0.875,398.375,0,0,0,0.75,0,0,0
"34248",8.6875,221.625,3.8125,0,0,2.5,0.5,25.875,137
"34254",1.375,372.375,0.9375,0,0,15.8125,2.5,1.625,5.375
"34255",0,400,0,0,0,0,0,0,0
"34256",0,398.25,0,0,0,1.75,0,0,0
"34257",0,374.4375,1.1875,0,0,24.1875,0,0,0.1875
"34258",0,287.3125,0,0,0,9.75,0,0.875,102.0625
"34259",0,370.625,0,0,0,28.0625,0,1.3125,0
"34260",0,390.875,0.5625,0,0,8.4375,0,0,0.125
"34261",0,382.0625,0,0,0,17.9375,0,0,0
"34262",0,399.8125,0,0,0,0.1875,0,0,0
"34263",0,397.0625,0,0,0,2.9375,0,0,0
"34264",0,390.125,0,0,0,9.875,0,0,0
"34265",4.0625,365.6875,0,0,0,30.25,0,0,0
"34266",43.875,199.875,0,0,0,1.9375,6.5,147.8125,0
"34267",35.375,346.375,0,0,0,7.0625,0,11.125,0.0625
"34268",1.625,371.875,0,0,0,24.75,0,1.75,0
"34892",0.5625,215.9375,0.625,0,0,5.5625,8.875,17.625,150.8125
"34893",0,347.75,5.0625,0,0,28.375,6.125,10.1875,2.5
"34894",0,368.25,3.25,0,0,27.9375,0,0.5625,0
"34895",0,395.1875,0.375,0,0,4.4375,0,0,0
"34896",0,396.625,0,0,0,3.375,0,0,0
"34897",0,393.625,0,0,0,6.375,0,0,0
"34898",9.4375,225.125,0,1.25,0,0,0,160.5,3.6875
"34903",6.125,310.4375,0,0,0,4.875,0,8.875,69.6875
"34904",0,381.0625,0,0,0,18.9375,0,0,0
"34905",0,365.8125,0,0,0,34.1875,0,0,0
"34906",0,393.5625,2.625,0,0,3.8125,0,0,0
"34907",0,385,0,0,0,15,0,0,0
"34909",0,359.5625,0,0,0,40.4375,0,0,0
"34910",0,336.6875,0,0,0,63.3125,0,0,0
"34911",0,398.375,0,0,0,1.625,0,0,0
"34912",0,373.8125,0,0,0,26.1875,0,0,0
"34913",0,347.1875,0,0,0,52.8125,0,0,0
"34914",0,262.75,0,0,0,137.25,0,0,0
"34915",0,311.5,0,0,0,88.5,0,0,0
"34916",0,390.625,0,0,0,9.375,0,0,0
"34917",0,389.8125,0,0,0,10.1875,0,0,0
"34918",0,282,0,0,2,6.5,0,9.75,99.75
"35544",0,354.6875,1.0625,0,0,36.3125,0,1.5,6.4375
"35545",0,389.1875,0,0,0,10.8125,0,0,0
"35546",0,399.25,0,0,0,0.75,0,0,0
"35547",0,394.6875,2.5625,0,0,2.75,0,0,0
"35548",0.6875,299.8125,0,0,0,2.75,0,96.75,0
"35549",0,399.4375,0,0,0,0,0,0.5625,0
"35550",0,316.0625,0,0,0,0,0,22.375,61.5625
"35553",0,399.25,0,0,0,0.375,0.125,0.25,0
"35554",0,396.8125,0,0,0,3.1875,0,0,0
"35555",0,398.5625,1.4375,0,0,0,0,0,0
"35556",0,398.4375,0,0,0,1.5625,0,0,0
"35557",0,388.75,1.5625,0,0,9.6875,0,0,0
"35558",0,360.875,0,0,0,3.625,0,0.6875,34.8125
"35559",0,316.9375,0,0,0,83.0625,0,0,0
"35560",0,355.25,0,0,0,44.75,0,0,0
"35561",0,392.625,0,0,0,7.375,0,0,0
"35562",0,380,0,0,0,20,0,0,0
"35563",0,287.0625,0,0.75,0,112.1875,0,0,0
"35564",0,357.375,0,0,0,42.625,0,0,0
"35565",0,381.5,0,0,0,18.5,0,0,0
"35566",0,364.5625,0,0,0,1.3125,0,5.625,28.5
"35567",3.5625,330.75,0,1.25,0,17.875,0,12.75,33.8125
"36195",0,326.3125,1.5,0,0,26.5625,1.6875,10,33.9375
"36196",0,381.0625,1.6875,0,0,9.5625,3.9375,2.375,1.375
"36197",0,393.5625,0,0,0,6.4375,0,0,0
"36198",0,398.1875,0,0,0,1.8125,0,0,0
"36199",0,398.0625,0,0,0,1.9375,0,0,0
"36202",0,345.125,3.9375,0,0,0,0,5.75,45.1875
"36203",0,394.125,0,0,0,0.8125,0,5.0625,0
"36204",0,389.625,0,0,0,10.375,0,0,0
"36205",0,393.75,6.25,0,0,0,0,0,0
"36206",0,371.1875,0,0,0,28.8125,0,0,0
"36207",0,400,0,0,0,0,0,0,0
"36208",0,390.625,0,0,0,1.25,1.1875,0,6.9375
"36209",0,362.3125,0,0,0,37.6875,0,0,0
"36210",0,393,0,0,0,7,0,0,0
"36211",0,394.5625,0,0,0,5.4375,0,0,0
"36212",0,396.5625,0,0,0,3.4375,0,0,0
"36213",0,357.5625,0,0,0,42.4375,0,0,0
"36214",0,375.25,0,0,0,24.75,0,0,0
"36215",1.1875,388.1875,0,0,0,10.625,0,0,0
"36776",68.625,83.8125,5.4375,0,2.6875,0,0,101.4375,138
"36846",0,348.375,0,0,0,9.8125,1,8.8125,32
"36847",0,384.0625,0,0,0,15.9375,0,0,0
"36848",0,386.75,0,0,0,13.25,0,0,0
"36849",0,387.5,0,0,0,12.5,0,0,0
"36851",5.5,264.75,0,0,1.4375,3.75,4.125,18.3125,102.125
"36852",0,393.5,1.9375,0,0,0,0.5,2.5625,1.5
"36853",0,393.25,0,0,0,6.75,0,0,0
"36854",0,400,0,0,0,0,0,0,0
"36855",0,393.875,6.125,0,0,0,0,0,0
"36856",0,388.625,1.4375,0,0,9.9375,0,0,0
"36857",0,400,0,0,0,0,0,0,0
"36858",0,400,0,0,0,0,0,0,0
"36859",0,390.625,0,0,0,9.375,0,0,0
"36860",0,379.8125,0,0,0,20.1875,0,0,0
"36861",0,370.375,0.5,0,1.125,25.75,0,2.25,0
"36862",0.875,332.375,1.125,0,0,17.875,0,5.375,42.375
"36863",0,306.875,1.5,0.25,0,4.1875,0,0,87.1875
"36864",2.8125,323.9375,0,1.6875,0,6.25,0,1.875,63.4375
"37426",99.25,40.1875,0,0,5.625,0,0,132.3125,122.625
"37427",78.8125,142,0.125,0,0.875,0,0,71.3125,106.875
"37473",50.4375,213.75,7.0625,0,0,0,0,23.5625,105.1875
"37474",84.125,298,1.1875,0,0,16.6875,0,0,0
"37496",0,341.25,0,0,0.375,22.75,0,0.375,35.25
"37497",0,378,0,0,0,20.4375,0,1.5625,0
"37498",0.875,249.75,0,0,0,15.4375,4.3125,1.6875,127.9375
"37499",0.8125,347.125,0,0,1.1875,15.0625,1.3125,4.3125,30.1875
"37500",0,372.625,0,0,0,1.9375,0,1.875,23.5625
"37501",0,397.5625,2.4375,0,0,0,0,0,0
"37502",0,360.1875,7.8125,0,0,32,0,0,0
"37503",0,400,0,0,0,0,0,0,0
"37504",0,395.1875,0,0,0,4.125,0,0.6875,0
"37505",0,398.6875,0.5625,0,0,0.75,0,0,0
"37506",0,339.3125,2.9375,0,0,57.75,0,0,0
"37507",0,266.4375,0,0,0,133.5625,0,0,0
"37508",0,331.25,0,0,0,68.75,0,0,0
"37509",0,393.6875,0,0,0,6.3125,0,0,0
"37510",0,389.3125,0,0,0,10.6875,0,0,0
"37511",0,398.3125,0,0,0,1.6875,0,0,0
"37512",0,386.9375,0,0,0,13.0625,0,0,0
"37513",0,388.3125,6,0,0,5.6875,0,0,0
"37514",0,365.625,0,0,0,34.375,0,0,0
"37515",0,280.5,0,0,0,11.1875,0,0.8125,107.5
"38026",168.0625,139.9375,4.5625,4.125,14.5625,5,0,24.5,39.25
"38077",145.5,222.1875,7.6875,0,9,0,0,15.375,0.25
"38078",68,178.3125,4.9375,0,1.875,0.75,0,74.375,71.75
"38120",37.0625,152.375,4.125,0,0,0.25,0,31.5,174.6875
"38121",6.0625,391.4375,0,0,0,0,0,2.5,0
"38122",14,382.9375,0,0,0,3.0625,0,0,0
"38123",0,400,0,0,0,0,0,0,0
"38124",58.75,320.6875,12.8125,0,0,0,0,5.625,2.125
"38125",54.125,276.4375,6.5,0,0,0.875,0,8.9375,53.125
"38126",0,400,0,0,0,0,0,0,0
"38127",17.25,365.875,1.125,0,0,0,0,14,1.75
"38146",2.1875,311.4375,0.625,0,0,65.375,1.125,4.3125,14.9375
"38147",0,260.4375,0,0,0,40.6875,0,0.9375,97.9375
"38150",0.8125,398.0625,0,0,0,1.125,0,0,0
"38151",0,400,0,0,0,0,0,0,0
"38152",0,390.375,1.3125,0,0,8.3125,0,0,0
"38153",0,400,0,0,0,0,0,0,0
"38154",0,398,0,0,0,2,0,0,0
"38155",0,399.1875,0,0,0,0.8125,0,0,0
"38156",0,400,0,0,0,0,0,0,0
"38157",0,369.9375,0,0,0,30.0625,0,0,0
"38158",0,238.5625,0,0,0,161.4375,0,0,0
"38159",0,293.1875,0,0,0,106.8125,0,0,0
"38160",0,307.5625,0,0,0,92.4375,0,0,0
"38161",0,381.875,0,0,0,18.125,0,0,0
"38162",0,371.75,0,0,0,28.25,0,0,0
"38163",0,381.9375,0,0,0,18.0625,0,0,0
"38164",0,313.3125,0,0,0,86.6875,0,0,0
"38165",0,379.8125,0,0,0,20.1875,0,0,0
"38166",0,327.5625,1.125,1.3125,0,10.375,0,13.5,46.125
"38676",62.5625,122.375,171.6875,0.75,7.125,0,0,0.625,34.875
"38677",149.5,151.875,96.3125,0,1.375,0,0,0.9375,0
"38678",118.6875,277.875,0.6875,0,0.6875,0,0,2.0625,0
"38679",126.4375,138.375,0,0.625,0,1.875,0,13.625,119.0625
"38727",32.1875,358.25,3.125,0,0,6,0,0.4375,0
"38728",2.5625,381.3125,0,0,5.4375,10.6875,0,0,0
"38729",36.75,296.5,0,0,0,1.5,0,31.8125,33.4375
"38770",0.875,370.8125,8.25,0,0,10.5625,0,3.25,6.25
"38771",0,396.875,0,0,0,3.125,0,0,0
"38772",0,390.9375,9.0625,0,0,0,0,0,0
"38773",17.125,366,16.875,0,0,0,0,0,0
"38774",114.3125,278.125,7.5625,0,0,0,0,0,0
"38775",30.5,365.5625,3.9375,0,0,0,0,0,0
"38776",91.3125,205,15.3125,0,1.3125,3,0,8.6875,75.375
"38799",3.0625,269.4375,0,0,0,11.375,0,5.8125,110.3125
"38800",0,364.625,0,0,0,35.375,0,0,0
"38801",0,372.1875,0,0,0,27.8125,0,0,0
"38802",1.6875,381.125,0.125,0,0,0.9375,0,7.25,8.875
"38803",0,397.5,0,0,0,2.0625,0,0.4375,0
"38804",0,400,0,0,0,0,0,0,0
"38805",1.375,264.1875,12.6875,0,0,0.75,0,15.5625,105.4375
"38806",0,400,0,0,0,0,0,0,0
"38807",0,369,31,0,0,0,0,0,0
"38808",0,400,0,0,0,0,0,0,0
"38809",0,305.1875,0,0,0,94.8125,0,0,0
"38810",0,235.6875,0,0,0,164.3125,0,0,0
"38811",0,371.0625,0,0,0,28.9375,0,0,0
"38812",0,356.125,0,0,0,43.875,0,0,0
"38813",0,339.625,0,0,0,60.375,0,0,0
"38814",0,236,0,0,0,164,0,0,0
"38815",0,389,0,0,0,11,0,0,0
"38819",13.6875,284,0,0.6875,1.3125,22.25,0,5.4375,72.625
"38820",21.4375,330.375,0,0,1.1875,12.5,0,7.125,27.375
"38821",22.5,282.1875,0,9.125,0,6.625,1.0625,13.75,64.75
"39327",46.375,104.9375,241.875,0,6.8125,0,0,0,0
"39328",42.5625,237.4375,120,0,0,0,0,0,0
"39329",25.25,209.0625,162.4375,0,0,1.125,0,1.3125,0.8125
