new2kid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"27083",0,0,0,47,0,0,0,0,0,52,4708,0,0,1593,0,0,0,0,0,0,0
"27084",0,0,0,0,0,0,0,0,0,1101,4881,0,0,418,0,0,0,0,0,0,0
"27085",0,0,0,0,0,0,0,0,0,346,5987,0,0,67,0,0,0,0,0,0,0
"27086",0,0,0,410,0,0,0,0,0,1908,3475,0,0,607,0,0,0,0,0,0,0
"27087",0,0,0,2747,0,0,0,0,0,997,194,0,0,0,0,494,259,1709,0,0,0
"27716",0,0,0,0,0,0,0,0,0,4012,0,0,0,0,80,0,89,0,0,0,0
"27717",0,0,0,0,0,0,0,0,343,5842,0,24,0,0,0,0,43,0,0,0,0
"27718",0,0,0,0,0,0,0,0,481,4350,0,0,0,73,11,0,327,0,0,0,0
"27724",0,0,0,918,0,0,0,0,0,1389,2405,0,0,1347,0,0,308,0,0,0,0
"27726",0,0,0,0,0,0,0,0,0,4596,0,0,0,307,0,371,805,0,0,0,0
"27728",0,0,0,3568,0,0,0,0,0,217,0,0,0,447,0,190,348,1343,18,0,0
"27730",0,0,0,277,0,0,0,0,0,2153,1811,0,0,2010,0,0,10,0,139,0,0
"27731",0,0,0,2186,0,0,0,0,0,1071,698,0,0,1285,0,0,520,0,0,0,0
"27733",0,0,0,0,0,0,0,0,0,429,3647,0,0,2324,0,0,0,0,0,0,0
"27734",0,0,0,0,0,0,0,0,0,0,3197,0,0,3203,0,0,0,0,0,0,0
"27735",0,0,0,0,0,0,0,0,0,346,4721,0,0,1333,0,0,0,0,0,0,0
"27736",0,0,0,1656,0,0,0,0,0,1647,1188,0,0,1590,0,0,48,271,0,0,0
"28367",0,0,0,0,0,0,0,0,0,2951,0,0,0,0,106,0,115,0,0,0,0
"28374",0,0,0,2261,0,0,0,0,0,1935,0,0,0,221,0,0,669,0,0,0,0
"28379",0,0,0,862,0,0,0,0,0,2574,5,0,0,244,0,598,893,1036,0,0,0
"28380",0,0,0,0,0,0,0,0,0,2235,2920,0,0,1245,0,0,0,0,0,0,0
"28381",0,0,0,2035,0,0,0,0,0,1132,1131,0,0,861,0,0,244,0,0,0,0
"28382",0,0,0,11,0,0,0,0,0,2368,2162,0,0,1154,0,0,373,0,0,0,0
"28383",0,0,0,0,0,0,0,0,0,42,4519,0,0,1839,0,0,0,0,0,0,0
"28384",0,0,0,0,0,0,0,0,0,0,4778,0,0,1622,0,0,0,0,0,0,0
"28385",0,0,0,0,0,0,0,0,0,36,3580,0,0,2784,0,0,0,0,0,0,0
"28386",0,0,0,469,0,0,0,0,0,4719,917,0,0,295,0,0,0,0,0,0,0
"28387",0,0,0,4420,0,0,0,0,0,221,0,0,0,269,0,410,10,816,254,0,0
"29029",0,0,0,0,0,0,0,0,0,3941,0,0,0,270,0,31,636,266,0,0,0
"29030",0,0,0,122,0,0,0,0,0,3018,1051,0,0,2209,0,0,0,0,0,0,0
"29031",0,0,0,1525,0,0,0,0,0,891,409,0,0,1229,0,12,284,0,0,0,0
"29032",0,0,0,0,0,0,0,0,0,2599,2215,0,0,965,0,62,329,0,0,0,0
"29033",0,0,0,328,0,0,0,0,0,373,4221,0,0,1478,0,0,0,0,0,0,0
"29034",0,0,0,492,0,0,0,0,0,31,3925,0,0,1952,0,0,0,0,0,0,0
"29035",0,79,0,1070,0,0,0,0,0,2543,1624,0,274,645,0,0,165,0,0,0,0
"29036",0,178,0,214,0,0,0,0,0,2899,84,0,941,905,0,0,1179,0,0,0,0
"29037",0,0,0,1449,0,0,0,0,0,2822,984,0,0,720,0,57,368,0,0,0,0
"29038",0,0,0,3552,0,0,0,0,0,1838,0,0,0,99,0,832,0,79,0,0,0
"29679",0,0,0,0,0,0,0,0,0,4561,0,0,0,304,0,73,169,0,0,0,0
"29680",0,0,0,182,0,0,0,0,0,4549,0,0,0,1669,0,0,0,0,0,0,0
"29681",0,0,0,26,0,0,0,0,0,2954,0,0,0,874,0,24,418,0,0,0,0
"29682",0,0,0,0,0,0,0,0,0,4558,219,0,0,961,0,108,184,0,0,0,0
"29683",0,0,0,487,0,0,0,0,0,3575,771,0,270,723,0,51,522,1,0,0,0
"29684",0,8,0,3598,0,0,0,0,0,0,340,0,263,935,0,0,1085,0,0,0,171
"29688",0,0,0,30,0,0,0,0,0,5885,0,0,0,207,0,0,211,0,0,0,0
"30332",0,0,0,0,0,0,0,0,206,5765,0,0,0,0,0,0,201,0,0,0,0
"30333",0,0,0,0,0,0,0,0,0,3846,0,0,2155,0,0,0,399,0,0,0,0
"30336",0,0,0,480,0,0,0,0,0,4081,0,0,325,644,0,0,870,0,0,0,0
"30920",0,0,0,3596,0,0,0,0,0,237,0,0,0,797,45,79,3,482,0,23,0
"30921",0,0,0,5942,0,0,0,0,0,0,0,0,0,455,0,3,0,0,0,0,0
"30922",0,0,0,6044,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0
"30923",0,0,0,4418,0,0,0,0,0,521,0,0,0,0,208,6,0,292,0,0,0
"30985",0,0,0,325,0,0,0,0,154,4471,0,0,723,374,0,71,277,0,0,0,0
"30986",132,0,0,1119,0,0,0,0,0,2982,0,0,880,548,0,0,739,0,0,0,0
"31569",0,0,0,700,0,0,0,0,0,3294,0,0,0,0,471,0,0,21,0,29,0
"31570",0,0,0,5253,0,0,0,0,0,1105,0,0,0,42,0,0,0,0,0,0,0
"31571",0,0,0,6200,0,0,0,0,0,112,0,0,0,88,0,0,0,0,0,0,0
"31572",0,0,0,5781,0,0,0,0,0,505,22,0,0,92,0,0,0,0,0,0,0
"31573",0,0,0,5624,0,0,0,0,0,0,0,0,0,744,0,16,0,6,0,10,0
"31636",447,0,0,711,0,0,0,0,114,2530,0,0,0,132,0,0,579,0,0,0,0
"31646",0,0,0,0,0,0,18,0,535,5730,0,0,0,0,0,14,9,0,0,0,0
"32221",0,0,0,4341,0,0,0,0,0,0,0,0,0,246,66,126,36,358,0,0,0
"32222",0,0,0,6363,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
"32223",0,0,0,5008,0,0,0,0,0,0,0,0,0,0,455,0,0,225,26,35,0
"32294",80,0,0,1362,0,0,0,0,890,1035,0,0,0,48,0,0,94,0,55,0,0
"32295",0,0,0,1679,0,0,0,0,96,462,0,0,0,0,0,352,56,960,2325,0,0
"32312",0,0,0,1706,0,0,0,0,0,1990,0,0,0,0,506,43,0,0,0,0,0
"32313",0,0,0,1927,0,0,0,0,0,3736,0,0,0,135,477,0,0,0,0,0,0
"32872",0,0,0,6373,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
"32873",0,0,0,4484,0,0,0,0,0,23,0,0,0,0,25,56,0,325,0,44,0
"32943",68,0,0,2190,0,0,0,0,0,808,0,0,0,788,0,0,247,0,1,0,150
"32944",106,0,0,116,0,0,0,0,946,4849,304,0,0,79,0,0,0,0,0,0,0
"32945",0,0,0,308,0,0,0,0,0,6067,25,0,0,0,0,0,0,0,0,0,0
"32946",0,0,0,3577,0,0,0,0,0,1058,0,0,0,0,0,254,149,209,84,0,0
"32954",0,0,0,669,0,0,0,0,0,4235,0,0,0,12,148,0,55,0,0,0,0
"32955",0,0,0,13,0,0,0,0,0,6362,0,0,0,16,9,0,0,0,0,0,0
"32956",0,0,0,430,0,0,0,0,0,4828,0,0,0,514,628,0,0,0,0,0,0
"32960",0,0,0,0,0,0,0,0,0,6280,0,0,0,0,10,0,0,0,0,0,0
"32961",0,0,0,0,0,0,0,0,0,6260,0,75,0,65,0,0,0,0,0,0,0
"32962",0,0,0,0,0,0,0,0,0,6247,0,0,0,153,0,0,0,0,0,0,0
"32963",0,0,0,0,0,0,0,0,0,6117,0,0,0,283,0,0,0,0,0,0,0
"32964",0,0,0,19,0,0,0,0,0,5799,0,0,0,418,100,0,0,0,0,0,0
"32965",0,0,0,1497,0,0,0,0,0,3147,0,0,0,136,163,72,0,0,0,0,0
"32966",0,0,0,429,0,0,0,0,0,2981,0,0,0,22,444,0,0,0,0,0,0
"33522",30,0,0,6246,0,0,0,0,0,0,11,0,0,112,0,0,0,1,0,0,0
"33523",0,0,0,5635,0,0,0,0,0,388,9,0,0,348,0,0,0,20,0,0,0
"33592",0,0,0,2137,0,0,0,0,1014,2285,0,45,0,0,0,0,213,0,0,0,0
"33593",34,0,0,1649,0,0,0,0,1692,2724,34,78,0,170,0,0,2,0,0,0,17
"33594",0,0,0,0,0,0,0,0,1093,1926,3018,0,0,363,0,0,0,0,0,0,0
"33595",0,0,0,0,0,0,13,0,11,6231,145,0,0,0,0,0,0,0,0,0,0
"33596",0,0,0,1307,0,0,0,0,0,5038,0,0,0,53,0,0,2,0,0,0,0
"33604",0,0,0,185,0,0,0,0,0,5896,0,0,0,197,120,0,0,0,0,0,0
"33605",0,0,0,0,0,0,0,0,0,6400,0,0,0,0,0,0,0,0,0,0,0
"33606",0,0,0,0,0,0,0,0,0,5612,0,0,0,788,0,0,0,0,0,0,0
"33607",0,0,0,0,0,0,0,0,0,4403,0,0,0,27,1970,0,0,0,0,0,0
"33608",0,0,0,0,0,0,0,0,0,4965,0,0,0,124,1311,0,0,0,0,0,0
"33610",0,0,0,76,0,0,0,0,0,4747,0,0,0,0,1577,0,0,0,0,0,0
"33611",0,0,0,0,0,0,0,0,0,6395,0,0,0,5,0,0,0,0,0,0,0
"33612",0,0,0,0,0,0,0,0,15,6271,29,0,0,85,0,0,0,0,0,0,0
"33613",0,0,0,0,0,0,8,0,0,5856,27,0,0,509,0,0,0,0,0,0,0
"33614",0,0,0,0,0,0,0,0,0,5838,8,0,0,554,0,0,0,0,0,0,0
"33615",0,0,0,1189,0,0,0,0,0,4751,0,0,0,373,8,0,0,79,0,0,0
"33617",0,0,0,196,0,0,0,0,0,2695,0,0,0,0,834,15,0,0,0,0,0
