new2kid,farm_ha,wood_ha,sng_ha,urban_ha,water_ha
"32966",1.1875,0,210.3125,1.625,186.875
"33522",392.9375,0,7,0,0.0625
"33523",382.125,0,16.5625,0,1.3125
"33592",77.8125,0,264.75,0,57.4375
"33593",43.5,1.5625,341,2.625,11.3125
"33594",0,0,377.3125,0,22.6875
"33595",0,0,400,0,0
"33596",26.8125,0,369.75,0,3.4375
"33604",11.8125,0,368.25,0,19.9375
"33605",0,0,400,0,0
"33606",0,0,350.75,0,49.25
"33607",0,0,275.1875,0,124.8125
"33608",0,0,319.0625,0,80.9375
"33610",2.1875,0,303.4375,0,94.375
"33611",0,0,399.6875,0,0.3125
"33612",0,0,395.3125,0,4.6875
"33613",0,0,368.1875,0,31.8125
"33614",0,0,365.375,0,34.625
"33615",46.625,0,315.4375,8.3125,29.625
"33617",9.0625,0,167.75,0,223.1875
"34241",131,0,92.5625,1,175.4375
"34242",24.5625,0,369.5,0,5.9375
"34243",0,0,395.1875,0,4.8125
"34244",0,0.625,300.5,0,98.875
"34245",0,0,340.5,0,59.5
"34246",0,0,398.8125,0,1.1875
"34247",24.5,0,374.75,0,0.75
"34248",75.6875,2.75,129.0625,0.625,191.875
"34254",23.25,0,348.8125,3.625,24.3125
"34255",0,0,400,0,0
"34256",0,0,398.125,0,1.875
"34257",0,0,371.4375,0,28.5625
"34258",0,0,290.375,0,109.625
"34259",0,0,372.8125,0,27.1875
"34260",1.3125,0,389.125,0,9.5625
"34261",0,0,382.0625,0,17.9375
"34262",0,0,399.8125,0,0.1875
"34263",0,0,397.0625,0,2.9375
"34264",0,0,389.6875,0,10.3125
"34265",24.3125,0,345.375,0,30.3125
"34266",166.25,0,72.0625,0,161.6875
"34267",161.9375,0,212.3125,0,25.75
"34268",44.75,0,330.625,0,24.625
"34892",51.1875,0,176.4375,0,172.375
"34893",63.4375,4.125,290.125,2.0625,40.25
"34894",0,0,369.1875,0,30.8125
"34895",0,0,393.5625,0,6.4375
"34896",0,0,399.25,0,0.75
"34897",0,0,399.3125,0,0.6875
"34898",73.5625,0,174.1875,3.25,149
"34903",48,0,273.125,0,78.875
"34904",1.9375,0,380.4375,0,17.625
"34905",0,0,361.1875,0,38.8125
"34906",0,0,396.125,0,3.875
"34907",0,0,385.1875,0,14.8125
"34909",0,0,360.0625,0,39.9375
"34910",0,0,336.4375,0,63.5625
"34911",0,0,398.375,0,1.625
"34912",0,0,373.6875,0,26.3125
"34913",0,0,347.1875,0,52.8125
"34914",0,0,262.75,0,137.25
"34915",0,0,311.4375,0,88.5625
"34916",0,0,390.125,0,9.875
"34917",34.875,0,355.75,0,9.375
"34918",9.5625,0,271.8125,0,118.625
"35544",28,0,319.8125,6,46.1875
"35545",0,0,389.25,0,10.75
"35546",0,0,399.25,0,0.75
"35547",0,0,397.625,0,2.375
"35548",6.875,0,286.4375,0,106.6875
