new2kid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"26407",0,5,0,0,145,0,0,6,0,885,3859,1135,0,0,0,22,0,0,68,26,0,0,0
"26408",0,49,0,0,17,0,0,0,0,439,2958,2392,0,94,18,255,0,0,31,9,0,0,0
"26409",0,2,0,0,22,0,0,0,0,228,3113,45,0,0,38,0,0,0,96,34,0,0,0
"26410",0,14,0,0,0,0,0,0,0,741,5144,461,0,20,0,20,0,0,0,0,0,0,0
"26411",0,57,0,0,0,0,0,0,0,726,4635,377,0,0,0,605,0,0,0,0,0,0,0
"26412",0,131,0,0,69,0,0,0,0,435,3494,1311,0,83,0,814,0,0,4,0,0,0,0
"26414",0,0,0,0,16,0,0,0,0,95,4902,671,0,0,121,0,0,0,150,14,24,0,0
"26415",0,0,0,0,53,0,0,1487,0,79,3027,1460,0,285,0,9,0,0,0,0,0,0,0
"26416",0,0,0,0,258,0,0,1247,0,424,3192,1012,0,267,0,0,0,0,0,0,0,0,0
"26417",0,0,0,0,35,0,0,1580,0,202,3166,1407,0,0,0,10,0,0,0,0,0,0,0
"26418",0,0,0,0,0,0,0,128,0,160,940,4616,0,28,0,528,0,0,0,0,0,0,0
"26419",5,0,0,0,28,0,0,18,0,203,1648,3902,0,39,25,356,0,0,24,23,0,0,0
"26420",0,0,0,0,2,0,0,0,0,151,515,4619,0,35,0,1052,0,17,0,6,0,0,0
"26421",0,0,0,0,263,0,0,0,0,0,74,5032,0,45,175,493,0,8,19,199,41,0,0
"26422",0,0,0,15,451,0,0,0,0,0,518,3081,0,62,144,323,0,207,157,1425,10,0,0
"26424",0,5,0,285,1090,0,0,0,0,21,414,3397,0,57,109,809,0,70,51,92,0,0,0
"26425",0,25,0,105,158,0,0,0,0,22,66,4733,0,47,0,1244,0,0,0,0,0,0,0
"26426",0,0,0,146,679,0,0,0,0,0,114,4422,0,79,0,960,0,0,0,0,0,0,0
"26427",0,42,0,432,1759,0,0,0,0,0,565,1531,0,103,82,1608,10,28,95,145,0,0,0
"26431",9,17,0,816,1324,0,0,0,0,10,246,1687,0,0,131,828,0,107,76,1058,75,0,16
"26432",0,12,0,149,704,0,0,0,0,82,755,3590,0,0,70,573,0,122,18,240,85,0,0
"26433",0,0,0,0,43,0,0,0,0,39,676,4573,0,21,0,1048,0,0,0,0,0,0,0
"26434",0,0,0,0,0,0,0,0,0,112,2017,4257,0,0,0,14,0,0,0,0,0,0,0
"26435",0,0,0,0,0,0,0,111,0,16,2060,4165,0,0,0,48,0,0,0,0,0,0,0
"26436",0,0,0,263,1521,0,0,0,0,245,1990,2063,0,0,0,310,0,8,0,0,0,0,0
"26437",0,47,43,2390,2536,0,0,0,0,1,73,42,0,0,0,0,0,1168,0,84,16,0,0
"27057",0,44,0,0,114,0,0,0,0,960,2497,1784,0,19,54,298,0,0,106,92,0,0,0
"27060",0,0,0,0,113,0,0,0,0,302,2340,63,0,90,19,13,0,0,19,0,0,0,0
"27064",0,0,0,0,64,0,0,0,0,172,2736,563,0,16,30,40,0,0,27,0,0,0,0
"27065",0,0,0,0,79,0,0,760,0,715,3517,307,0,99,0,96,0,0,0,10,0,0,0
"27066",0,0,0,0,217,0,0,1519,0,110,3700,519,0,0,0,335,0,0,0,0,0,0,0
"27067",0,0,0,0,0,0,0,2455,0,220,3546,177,0,2,0,0,0,0,0,0,0,0,0
"27068",0,0,0,0,0,0,0,0,0,165,1325,4350,0,85,0,463,0,0,0,10,0,0,0
"27069",0,0,0,0,200,0,0,0,0,186,775,3549,0,51,12,72,0,41,91,79,0,0,0
"27070",0,0,0,15,127,0,0,23,0,13,717,3957,0,90,278,437,0,0,46,112,0,0,0
"27074",0,23,50,87,67,0,0,0,0,0,81,4540,0,113,53,1110,0,0,25,131,0,0,0
"27075",0,0,0,0,0,0,0,0,0,65,273,5000,0,0,39,871,0,0,17,76,0,0,0
"27076",0,0,0,149,493,0,0,92,0,374,393,3840,0,70,0,989,0,0,0,0,0,0,0
"27077",0,0,0,0,518,0,0,0,0,26,211,3437,0,32,13,939,112,51,172,887,0,0,0
"27080",0,66,0,21,293,0,0,0,0,2,689,4273,0,0,62,757,0,0,0,179,58,0,0
"27081",0,18,0,82,51,0,0,0,0,36,81,4458,0,61,840,591,0,0,85,77,20,0,0
"27082",0,63,0,0,214,0,0,0,0,0,508,3867,0,170,494,688,0,35,118,243,0,0,0
"27083",0,28,0,0,0,0,0,0,0,7,19,4755,0,27,0,1564,0,0,0,0,0,0,0
"27084",0,0,0,0,89,0,0,0,0,160,989,4764,0,0,0,398,0,0,0,0,0,0,0
"27085",0,0,0,0,0,0,0,0,0,0,391,5947,0,0,0,62,0,0,0,0,0,0,0
"27086",0,0,0,130,163,0,0,0,0,1265,1225,3035,0,0,0,582,0,0,0,0,0,0,0
"27087",0,0,10,727,2071,0,0,0,0,6,473,1015,0,12,79,9,0,32,101,1824,41,0,0
"27716",0,0,0,0,130,0,0,0,0,663,1952,1262,0,0,22,10,0,0,103,39,0,0,0
"27717",0,0,0,0,0,0,0,39,0,961,3730,1466,0,27,0,17,0,0,0,13,0,0,0
"27718",0,0,0,0,74,0,0,0,0,824,2046,1913,0,199,18,72,0,0,76,6,0,0,0
"27724",10,3,0,3,130,0,0,0,0,69,415,4461,0,14,5,1257,0,0,0,0,0,0,0
"27726",0,0,0,0,56,0,0,0,0,0,1233,3765,0,80,297,534,12,0,37,190,0,0,0
"27728",0,11,30,249,1037,0,0,0,0,0,109,2027,0,23,282,427,17,140,262,1706,80,0,0
"27730",0,67,0,11,184,0,0,0,0,206,431,3411,0,0,0,1926,0,0,15,64,85,0,0
"27731",0,27,0,395,481,0,0,0,0,221,412,2482,0,10,1171,950,0,38,15,198,0,0,0
"27733",0,58,0,0,0,0,0,0,0,0,52,3779,0,256,0,2255,0,0,0,0,0,0,0
"27734",0,35,0,0,29,0,0,0,0,0,16,3144,0,30,0,3146,0,0,0,0,0,0,0
"27735",0,0,0,0,0,0,0,0,0,0,345,4690,0,47,0,1318,0,0,0,0,0,0,0
"27736",0,0,0,360,592,0,0,0,0,181,773,2722,0,0,227,1491,0,0,0,54,0,0,0
"28367",0,0,0,0,0,0,0,19,0,776,1698,459,0,82,99,31,0,0,9,0,0,0,0
"28374",0,23,0,120,227,0,0,0,0,51,232,3214,0,300,163,495,0,0,127,129,3,0,0
"28379",11,0,6,45,341,0,0,0,0,0,461,3241,0,32,277,232,0,0,648,1106,0,0,0
"28380",0,40,0,0,41,0,0,0,0,0,0,5129,0,8,0,1182,0,0,0,0,0,0,0
"28381",25,27,0,431,528,0,0,0,0,104,198,2851,0,0,1021,928,0,69,95,123,0,0,0
"28382",21,23,0,0,553,0,0,0,0,1,42,3962,0,40,483,1147,0,0,101,27,0,0,0
"28383",0,8,0,0,0,0,0,0,0,0,0,4264,0,372,0,1756,0,0,0,0,0,0,0
"28384",0,0,0,0,6,0,0,0,0,0,0,4702,0,11,0,1681,0,0,0,0,0,0,0
"28385",0,0,0,0,0,0,0,0,0,16,11,3678,0,21,0,2674,0,0,0,0,0,0,0
"28386",0,56,0,59,71,0,0,0,0,24,3709,2112,0,76,0,293,0,0,0,0,0,0,0
"28387",0,81,0,1363,1777,0,0,0,0,0,826,398,0,0,12,258,27,467,30,1114,47,0,0
"29029",0,0,0,0,37,0,0,0,0,10,2270,1772,0,62,1501,250,0,202,269,27,0,0,0
"29030",24,0,0,0,27,0,0,0,0,32,293,3412,0,192,0,2399,0,0,21,0,0,0,0
"29031",34,0,0,180,239,0,0,0,0,27,139,2244,0,0,2201,1204,0,13,37,82,0,0,0
"29032",19,6,0,0,1,0,0,0,0,94,100,4457,0,216,379,947,0,0,25,135,21,0,0
"29033",29,0,0,0,0,0,0,0,0,0,0,4900,0,89,0,1382,0,0,0,0,0,0,0
"29034",0,21,10,0,260,0,0,0,0,0,11,4044,0,28,0,2011,0,15,0,0,0,0,0
"29035",0,70,0,18,610,0,0,12,0,22,753,3873,0,4,0,622,0,0,26,116,0,0,0
"29036",28,288,0,0,223,0,0,0,0,114,1484,2001,0,32,268,797,0,0,164,58,0,0,0
"29037",0,40,0,328,1070,0,0,0,0,21,1829,2261,0,36,72,588,0,0,155,0,0,0,0
"29038",0,12,0,754,1819,0,0,0,0,73,2470,30,0,0,0,82,0,1041,0,113,0,6,0
"29679",0,24,0,0,760,0,0,32,0,206,2489,865,0,0,135,547,0,4,40,34,0,0,0
"29680",0,45,0,0,97,0,0,0,0,120,1492,2657,0,199,0,1770,0,0,20,0,0,0,0
"29681",0,83,0,0,35,0,0,0,0,123,2110,705,0,32,2216,920,0,0,108,68,0,0,0
"29682",0,442,0,0,60,0,0,0,0,785,2205,1227,0,61,516,1069,0,0,15,20,0,0,0
"29683",0,35,0,0,105,0,0,0,0,61,643,4011,0,67,104,838,0,0,40,152,73,0,0
"29684",0,26,129,408,1202,0,0,0,0,10,378,1520,0,30,611,1079,0,18,201,491,34,0,0
"29688",0,0,0,6,185,0,0,0,0,1643,1297,2799,0,23,0,198,0,0,24,153,5,0,0
"30332",0,124,0,0,45,0,0,7,0,1182,3978,412,0,345,29,8,0,0,42,0,0,0,0
"30333",0,22,0,0,88,0,0,0,0,773,2475,462,0,55,80,112,0,0,114,65,0,0,0
"30336",0,0,0,0,1053,0,0,0,0,533,427,2684,0,0,68,762,0,0,582,211,0,0,0
"30920",0,0,69,405,277,0,0,0,0,0,0,0,0,0,0,797,0,2898,242,574,0,0,0
"30921",103,0,143,3941,456,0,0,0,0,8,305,0,0,72,0,459,0,910,0,3,0,0,0
"30922",101,0,43,4002,615,0,0,13,0,0,600,0,0,0,0,0,0,1004,0,22,0,0,0
"30923",11,0,52,2569,380,0,0,0,0,0,0,0,0,0,0,0,0,1746,493,194,0,0,0
